ANNEE,TOTAL
2011,0.4918898130119028
2012,0.4948377705630175
2013,0.49569719314889726
2014,0.5010769608562305
2015,0.5071203538821137
2016,0.5122588842575599
2017,0.5161351651891549
2018,0.5120434277620763
2030,0.5598467896713375
