an,cumul0,cumul1,cumul2,cumul3,cumul4,cumul5,cumul6,cumul7,cumul8,cumul9,gr0,gr1,gr2,gr3,gr4,gr5,gr6,gr7,gr8,gr9,veh_tot
2011,3.277290111807093e-06,3.417745402313111e-05,0.0743350261317068,0.26518895216139626,0.4403273357363673,0.6190136199495204,0.7794940894072834,0.9179727057915803,0.9753599283865293,1.0,3.277290111807093e-06,3.090016391132402e-05,0.07430084867768366,0.19085392602968945,0.17513838357497105,0.17868628421315308,0.16048046945776298,0.1384786163842969,0.057387222594948946,0.024640071613470788,2135911.0
2012,5.6250515821840785e-05,0.00047674617508019156,0.09647009570425875,0.29058970366582765,0.4624036767550276,0.6397122186724971,0.7959627806013181,0.9225577939469836,0.9767772972918144,1.0,5.6250515821840785e-05,0.00042049565925835077,0.09599334952917857,0.1941196079615689,0.17181397308919993,0.17730854191746942,0.15625056192882097,0.12659501334566542,0.054219503344830874,0.023222702708185695,2168869.0
2013,0.00016382684916703858,0.0016638236547716508,0.12212858080314401,0.3174863941573596,0.4887808270563464,0.6623451060493635,0.812767359485392,0.9279390034764149,0.9788918916205533,1.0,0.00016382684916703858,0.0014999968056046123,0.12046475714837236,0.19535781335421556,0.17129443289898683,0.17356427899301705,0.15042225343602858,0.11517164399102284,0.05095288814413842,0.021108108379446714,2191338.0
2014,0.00036632352420268587,0.0032664221221745003,0.147473690393401,0.3478445873569511,0.5136680821909824,0.6810227824535964,0.8265738348154416,0.9331044820153982,0.980546292846289,1.0,0.00036632352420268587,0.0029000985979718143,0.14420726827122649,0.20037089696355015,0.16582349483403122,0.16735470026261406,0.14555105236184515,0.1065306471999566,0.0474418108308908,0.019453707153711055,2230269.0
2015,0.0006595840429192881,0.004914452611423378,0.1702445975875548,0.3779840111533676,0.5364178630359395,0.699026286299182,0.8398688773394276,0.9386547132684484,0.9822918229226411,0.9999999999999999,0.0006595840429192881,0.0042548685685040895,0.16533014497613144,0.2077394135658128,0.15843385188257197,0.16260842326324243,0.14084259104024566,0.09878583592902082,0.04363710965419266,0.01770817707735884,2266580.0
2016,0.0009918071871342494,0.007090467727253023,0.18662577484936496,0.4019766786596732,0.5546560319042871,0.7134596211365902,0.8504057393038277,0.9429871255797824,0.9838787983874463,0.9999999999999999,0.0009918071871342494,0.006098660540118774,0.17953530712211194,0.21535090381030822,0.15267935324461399,0.1588035892323031,0.13694611816723742,0.09258138627595475,0.04089167280766397,0.016121201612553645,2306900.0
2017,0.0016178720479039677,0.01067634104300914,0.19762680943141228,0.42007571879106553,0.5698172543844631,0.7258254949953458,0.8584863294485429,0.9464020403541815,0.9852258711675913,1.0,0.0016178720479039677,0.009058468995105172,0.18695046838840315,0.22244890935965322,0.14974153559339748,0.15600824061088264,0.13266083445319707,0.08791571090563871,0.038823830813409815,0.014774128832408764,2353709.0
2018,0.0033144419966333353,0.01694029413882837,0.21199752195975752,0.43864428793614707,0.5874724200101329,0.7408055820762389,0.8682052359760568,0.9508186503272116,0.9867738181824307,1.0,0.0033144419966333353,0.013625852142195036,0.19505722782092916,0.22664676597638955,0.14882813207398576,0.15333316206610606,0.12739965389981794,0.08261341435115481,0.03595516785521911,0.013226181817569238,2374457.0
2030,0.013243302748931152,0.06345102673639524,0.37557446261392635,0.6797779964881878,0.7893294912036029,0.9056793336899933,0.9799126538753395,0.9985897847658969,1.000000074747642,1.000000074747642,0.013243302748931152,0.05020772398746409,0.3121234358775311,0.30420353387426147,0.10955149471541503,0.11634984248639046,0.07423332018534623,0.018677130890557336,0.0014102899817451942,0.0,
