Sm100,gr0,gr1,gr2,gr3,gr4,gr5,gr6,gr7,gr8,gr9
101,164.57687761439135,783.2847535100168,1682.0372026934176,1912.1955451096958,997.4498325601379,1091.5995868395516,573.4947943324688,142.66408163993555,7.646223887139897,0.0
102,319.4727624279361,1553.1417683884335,4515.96778521512,4712.605103046222,2332.16687469097,2412.6201037945348,1379.3722376695441,352.1070951113303,20.31028220021535,0.0
103,256.5463092224336,1463.6235108444316,8788.303298892954,8862.511089310805,3480.310566846524,3525.496631733501,2099.2609943718876,512.9836127053002,32.639818218228434,0.0
104,251.70581282201027,1257.731518493227,7153.043492334697,7977.568582976891,3319.749847396646,3540.297982063529,2114.8953010327477,471.03982081116044,29.246806368310107,0.0
105,285.5892876249732,1633.7082001780352,8973.463825261291,10023.895894296164,3797.8440567082953,4490.35965637219,2685.547494154151,658.1312083389676,32.40087372175531,0.0
106,348.5157408304758,1418.8643820724303,7453.198450868632,8060.991998546262,3271.3125353838336,3067.5798558982656,1914.4919156526284,400.67359098875517,27.813139389471377,0.0
107,333.99425162920596,1718.7505448448371,12702.012108867906,13586.566465082235,4842.834214021749,4336.79564669815,2614.482463877513,614.5317404490066,39.99930870960059,0.0
108,779.3199204681472,2828.776938390461,19888.18959013167,21322.043567583307,7499.710476650461,7699.477424801346,4524.710477713543,1052.1820953444376,54.001456202925525,0.0
109,72.60744600634912,546.0613710184117,6192.157813391643,7432.862751906294,2550.134778748626,2854.8104449041157,1909.517363533264,498.0825287429084,27.52640599370363,0.0
110,435.64467603809476,2000.7330561084432,15165.621638652934,14577.832932435935,5114.621353649196,4946.426263416171,2867.4739716623444,594.9395744984547,38.03996383852099,0.0
111,145.21489201269824,1002.6044844928215,8534.925736494179,8025.005427124181,2820.1279438570805,2573.5847886335873,1465.360924304276,351.0033111141161,23.368771755071315,0.0
112,367.87772643216886,1924.6425371960413,15378.068979433448,14543.48211426031,5231.229697383746,5202.674641004778,3138.9423873191017,715.8039221934097,44.7304097397684,0.0
113,251.70581282201027,1311.442473019628,11380.55066804967,10023.895894296164,3436.358191131195,3403.3854915107718,2080.073436197195,527.8846966676919,36.65408575897688,0.0
114,198.46035241735427,1306.966560142428,10014.260889268575,11003.712088924654,3964.683686974649,4927.924575503637,2765.8509783667523,676.0676982936984,46.35523231578563,0.0
115,4.840496400423274,58.186867403601255,709.4571747165747,629.7649998864267,238.59861102607616,238.6717740716986,174.10932417776317,49.670279874639064,3.4408007492129538,0.0
116,125.85290641100514,989.1767458612212,7501.924905176089,7635.696154467117,2717.8713962744764,2849.259938530355,1688.5051193729196,365.62844907720427,22.269627071294952,0.0
117,121.01241001058187,1154.7855223176248,10597.029282785761,12742.517789909778,4421.250202058381,5521.828757496003,3470.105428408235,807.6939399614919,51.08633334595344,0.0
