annee,nvx_veh,cumul,flotte,part_flotte
2011,195,195,4365090,0.0000446726184339842
2012,1006,1201,4429283,0.000271149980707938
2013,972,2173,4502414,0.000482629984714866
2014,2981,5154,4543644,0.00113433182705335
2015,3214,8368,4598166,0.00181985600345877
2016,5086,13454,4671968,0.00287972862827828
2017,8476,21930,4758010,0.0046090697581552
2018,17461,39391,4779332,0.00824194678252107
2019,27248,66639,4836544,0.0137782267668815
