,Sm100,gr0,gr1,gr2,gr3,gr4,gr5,gr6,gr7,gr8,gr9,nb_veh,km_totaux
0,101,164.57687761439138,783.2847535100168,1682.0372026934174,1912.195545109696,997.4498325601379,1091.5995868395516,573.4947943324687,142.66408163993557,7.6462238871398975,0.0,7354.948898186756,202428.78621748986
1,102,319.4727624279361,1553.1417683884335,4515.96778521512,4712.605103046222,2332.16687469097,2412.6201037945348,1379.3722376695441,352.10709511133035,20.31028220021535,0.0,17597.764012544307,595037.2797601909
2,103,256.5463092224336,1463.6235108444314,8788.303298892954,8862.511089310805,3480.310566846524,3525.496631733501,2099.260994371888,512.9836127053002,32.639818218228434,0.0,29021.675832146066,773159.8072512215
3,104,251.70581282201027,1257.731518493227,7153.0434923346975,7977.568582976891,3319.749847396646,3540.297982063529,2114.895301032748,471.0398208111605,29.246806368310107,0.0,26115.279164299223,594784.2140517161
4,105,285.58928762497317,1633.7082001780352,8973.463825261291,10023.895894296165,3797.8440567082953,4490.35965637219,2685.547494154151,658.1312083389676,32.40087372175531,0.0,32580.940496655825,929727.0980057858
5,106,348.51574083047586,1418.8643820724303,7453.198450868632,8060.991998546262,3271.3125353838336,3067.5798558982656,1914.4919156526284,400.67359098875517,27.813139389471374,0.0,25963.44160963075,812527.3985534679
6,107,333.994251629206,1718.7505448448373,12702.012108867906,13586.566465082236,4842.834214021749,4336.79564669815,2614.482463877513,614.5317404490066,39.99930870960059,0.0,40789.9667441802,1113370.479349667
7,108,779.3199204681473,2828.7769383904606,19888.18959013167,21322.043567583307,7499.710476650462,7699.477424801346,4524.710477713543,1052.1820953444376,54.00145620292553,0.0,65648.41194728631,1476756.6102470502
8,109,72.60744600634912,546.0613710184117,6192.157813391643,7432.862751906294,2550.134778748626,2854.810444904116,1909.517363533264,498.0825287429084,27.526405993703627,0.0,22083.760904245315,540747.7806353454
9,110,435.6446760380948,2000.7330561084434,15165.621638652934,14577.832932435935,5114.621353649196,4946.426263416171,2867.4739716623444,594.9395744984547,38.039963838521,0.0,45741.3334303001,1230640.4991796464
10,111,145.21489201269824,1002.6044844928217,8534.925736494179,8025.005427124181,2820.1279438570805,2573.584788633588,1465.360924304276,351.0033111141161,23.368771755071315,0.0,24941.196279788015,542934.9175333764
11,112,367.87772643216886,1924.6425371960413,15378.068979433447,14543.48211426031,5231.229697383746,5202.674641004778,3138.9423873191017,715.8039221934097,44.7304097397684,0.0,46547.452414962776,1178234.3538930677
12,113,251.70581282201027,1311.442473019628,11380.550668049671,10023.895894296165,3436.358191131195,3403.385491510772,2080.073436197195,527.8846966676919,36.65408575897688,0.0,32451.950749453303,935579.1363459845
13,114,198.46035241735427,1306.966560142428,10014.260889268575,11003.712088924653,3964.683686974649,4927.924575503637,2765.8509783667523,676.0676982936983,46.355232315785635,0.0,34904.28206220754,898595.2592786687
14,115,4.840496400423273,58.186867403601255,709.4571747165747,629.7649998864267,238.59861102607616,238.67177407169862,174.10932417776314,49.670279874639064,3.4408007492129538,0.0,2106.740328306416,55630.04147874377
15,116,125.85290641100514,989.1767458612213,7501.924905176089,7635.696154467117,2717.8713962744764,2849.259938530355,1688.5051193729196,365.62844907720427,22.269627071294952,0.0,23896.185242241685,608744.227089021
16,117,121.01241001058187,1154.7855223176248,10597.029282785761,12742.517789909778,4421.250202058381,5521.828757496003,3470.1054284082347,807.6939399614919,51.086333345953435,0.0,38887.30966629381,800517.3316945209
17,118,121.01241001058187,939.9417042120202,10688.63501688378,11836.310491371903,4259.792495349007,4789.161916159625,3109.805724905681,821.7671859259731,46.06849892001788,0.0,36612.49544373859,889368.238478544
18,119,469.52815084105765,2698.975464951658,13526.46371575008,16023.838802305027,5941.643606904994,6934.432629618033,4016.5955112355823,936.56072163625,44.25252074682215,0.0,50592.2911239895,1180691.063748603
19,120,498.57112924359734,1535.2381168796328,2303.7867596565693,2766.058739760903,1469.265131055311,1961.1789187286859,1120.6955274625818,286.7078932763888,14.623403184155054,0.0,11956.125619247825,314131.83089143975
20,121,416.28269043640165,1020.508136001622,1890.5864271293335,2255.7037268659287,1155.3195902315267,1233.1374993704428,777.4514312264201,186.26354952989647,9.940091053281867,0.0,8945.193141844855,242920.9580372942
21,122,488.89013644275076,1709.7987190904366,1354.5954297473065,1866.3944542088645,1297.0435772319775,1728.057651030748,1053.894399002542,290.5711372666385,19.354504214322862,0.0,9808.600008235588,214245.08330583348
22,123,179.09836681566117,559.489109650012,551.5834627604139,852.227441404749,482.57914560913144,763.1946263920594,464.7652980092127,124.45164568590124,7.6462238871398975,0.0,3985.035320214281,89395.09162769385
23,124,87.12893520761897,1016.0322231244216,4950.6077576376365,5417.614752269727,2038.8520408356055,2534.731244017264,1584.7501751690281,345.48439112804505,13.954358594030314,0.0,17989.155877983376,426030.79170447675
24,125,38.723971203386185,179.03651508800385,524.296648348238,781.8900518070441,377.6316362480378,487.5194764952913,292.7879247397487,68.43460782728049,3.6319563463914513,0.0,2753.952788103422,86109.28961887091
25,126,9.680992800846546,138.753299193203,816.6553741929802,798.2475842716266,281.65399948190947,340.4310575906398,195.42883326075454,53.53352386488877,2.819545058382837,0.0,2637.2042097152316,81033.03160507035
26,128,159.73638121396806,1530.7622040024328,12754.63667951996,13148.184595031424,4738.783691920152,5228.577004082327,3258.3316381838536,784.5144760199937,48.26678828757061,0.0,41651.79345826167,993933.4105137588
27,129,212.9818416186241,841.471620913618,7429.809752801052,7162.9634662406825,2589.602218166473,2735.4745578682664,1632.3637454543757,394.8787250033807,24.42012753955305,0.0,23023.966055606026,617029.5993762175
