ADIDU,no_corr,gr0,gr1,gr2,gr3,gr4,gr5,gr6,gr7,gr8,gr9
24010018,0,1,0,58,50,34,25,58,72,60,18
24010019,0,0,1,81,87,42,38,61,56,44,16
24010020,0,1,0,79,81,55,44,58,46,53,10
24010021,0,1,3,62,74,53,31,44,40,42,10
24010022,0,0,3,78,91,49,44,45,50,45,12
24010023,0,1,0,78,95,47,37,47,39,41,14
24010024,0,0,3,64,68,45,37,45,44,21,9
24010025,0,0,0,47,59,36,45,48,52,36,11
24010026,0,2,0,63,49,43,31,48,40,21,7
24010027,0,0,1,83,87,61,56,73,54,30,12
24010028,0,0,1,90,109,56,63,69,60,51,11
24010029,0,0,1,76,89,44,43,67,47,46,19
24010030,0,0,0,90,89,39,40,69,43,45,7
24010031,0,0,1,77,100,50,53,73,59,56,16
24010032,0,0,1,72,81,46,43,61,40,45,19
24010033,0,0,0,61,85,38,48,47,45,40,15
24010034,0,2,0,81,104,45,44,59,57,48,18
24010035,0,0,1,88,110,41,37,63,45,68,13
24010036,0,0,0,89,89,63,59,72,53,48,15
24010037,0,0,6,164,188,106,107,107,101,94,32
24010038,0,0,2,94,98,53,70,77,67,62,27
24020035,0,0,2,49,60,40,38,44,45,45,20
24020036,0,0,3,71,77,56,55,54,54,45,21
24020037,0,0,5,69,61,57,51,42,35,25,11
24020038,0,0,3,63,56,37,34,33,32,28,13
24020039,0,0,5,55,60,38,36,35,26,33,12
24020040,0,0,5,67,74,45,43,44,32,41,16
24020041,0,0,2,74,80,47,51,47,40,35,14
24020042,0,0,3,86,93,55,60,54,47,42,17
24020043,0,0,5,59,57,46,46,43,33,31,16
24020044,0,0,5,61,56,46,44,42,31,29,15
24020045,0,0,5,64,59,49,47,45,33,31,16
24020046,0,0,5,68,63,52,50,48,35,33,17
24020047,0,1,5,55,63,45,48,45,41,34,17
24020048,0,1,6,67,76,53,58,54,49,41,20
24020049,1,1,5,59,67,50,53,50,45,37,19
24020050,0,1,4,66,74,67,58,57,50,40,17
24020051,0,0,3,41,46,42,36,35,30,25,11
24020052,0,0,5,76,85,77,66,65,56,46,20
24020053,0,0,3,66,73,63,51,44,37,31,10
24020054,0,0,2,56,62,53,42,36,30,25,8
24020055,0,0,4,78,87,76,63,56,48,40,14
24020056,0,0,1,42,47,40,32,27,23,19,6
24020057,0,0,2,47,52,44,35,30,25,21,7
24020058,0,0,3,90,94,79,64,58,51,40,14
24020059,0,0,3,61,60,47,43,39,38,28,9
24020060,0,0,5,110,104,85,78,62,55,43,19
24020061,0,2,6,146,137,116,104,82,75,58,24
24020062,0,0,2,63,57,49,44,33,27,23,11
24020063,0,0,1,66,62,46,50,35,39,29,13
24020064,0,0,1,65,62,46,50,36,39,29,13
24020065,0,0,3,68,62,50,48,46,35,34,13
24020066,0,0,2,67,63,51,49,48,34,36,13
24020067,0,1,3,76,72,58,54,53,38,42,14
24020069,0,0,1,56,58,40,40,38,42,28,17
24030034,0,0,3,44,38,23,26,19,27,26,10
24030035,0,0,4,51,43,27,30,23,32,30,12
24030036,1,0,0,21,23,18,13,23,8,19,6
24030037,0,0,1,58,64,39,36,37,40,40,13
24030038,0,0,1,74,83,50,47,48,51,51,17
24030040,0,0,1,34,39,31,32,43,32,32,17
24030041,0,0,1,21,25,20,20,27,21,21,11
24030042,0,0,0,1,1,1,0,0,0,0,0
24030043,0,0,0,41,51,33,20,33,39,26,8
24030044,0,0,1,138,166,103,93,86,100,84,38
24030045,0,1,3,119,138,99,82,100,70,55,15
24030046,0,1,1,53,68,28,36,25,29,32,11
24030047,0,0,3,62,78,36,40,48,32,21,8
24030048,0,0,1,62,70,54,47,31,18,19,8
24030049,0,2,3,185,235,134,121,85,64,44,25
24030050,0,0,0,51,62,37,27,18,18,9,7
24030051,0,0,2,98,128,73,83,72,59,59,20
24030052,0,1,3,94,105,65,62,69,42,48,11
24030053,0,1,2,73,89,60,56,56,59,46,18
24030054,0,0,1,53,81,58,37,44,49,48,22
24030055,0,0,1,102,116,83,69,64,55,55,22
24030056,0,0,4,56,87,41,46,56,34,34,14
24030057,0,0,2,76,93,63,51,55,40,26,20
24030058,0,1,1,47,56,36,26,26,29,27,9
24030059,0,0,3,62,66,42,30,24,37,38,12
24030060,0,0,1,61,75,43,39,26,42,27,14
24030061,0,0,4,72,87,57,49,60,32,36,21
24030062,0,0,2,130,147,75,97,85,70,79,33
24030063,0,0,1,94,107,49,54,56,54,55,22
24030064,0,0,8,98,130,69,62,64,63,67,22
24030065,0,0,1,70,72,51,35,34,45,40,13
24040028,0,0,1,36,32,25,26,20,26,40,11
24040029,0,0,1,35,38,28,28,42,39,35,19
24040030,0,2,2,28,37,27,33,26,32,35,17
24040031,0,1,1,34,42,31,36,32,38,40,18
24040032,0,0,0,10,16,10,14,29,15,23,12
24040033,0,0,0,16,16,16,4,11,18,19,8
24040034,0,0,1,22,39,16,21,27,19,27,7
24040035,0,0,0,24,29,17,18,19,18,18,7
24040036,0,0,2,14,20,28,20,28,17,20,12
24040037,0,1,1,71,80,66,58,73,70,86,20
24040038,0,0,0,49,60,32,42,55,39,48,19
24040039,0,0,1,33,48,24,27,42,19,27,16
24040040,0,0,1,46,42,45,35,38,46,38,15
24040041,0,0,1,46,64,53,46,46,44,40,20
24040042,0,2,1,40,86,60,67,71,49,48,11
24040043,0,0,0,20,33,17,39,24,18,16,4
24040044,0,0,2,30,52,49,34,36,26,17,9
24040045,0,0,2,37,60,49,38,31,27,28,7
24040046,0,0,1,40,45,30,40,34,23,13,6
24040047,0,0,3,37,63,45,55,51,48,44,10
24040048,0,0,0,45,64,26,36,34,37,37,15
24040049,0,0,1,31,57,38,39,48,28,42,20
24040050,0,0,1,20,37,25,25,23,18,21,3
24040051,0,0,2,28,44,32,29,32,36,26,13
24040052,0,0,1,27,43,30,29,31,34,26,12
24040053,0,0,1,44,62,42,46,47,49,43,16
24040054,0,0,1,29,40,25,30,30,31,28,11
24040055,0,0,1,39,52,34,41,41,42,37,15
24040056,0,0,3,39,51,39,36,44,44,36,15
24050035,0,2,0,23,24,20,18,18,17,14,6
24050036,0,0,3,104,111,68,71,53,74,69,34
24050037,0,0,3,45,64,47,43,56,45,43,26
24050038,0,0,3,70,86,57,64,64,57,45,22
24050039,0,0,2,61,75,50,48,46,45,37,14
24050040,0,0,3,77,95,63,61,58,57,47,18
24050041,0,0,2,53,66,43,42,40,40,33,12
24050042,0,0,3,94,116,77,75,71,70,58,22
24050043,0,0,2,45,55,36,36,34,33,27,11
24050044,0,0,1,36,43,33,34,48,30,31,16
24050045,0,0,1,45,54,42,43,60,38,40,20
24050046,0,1,1,45,55,42,44,61,38,40,21
24050047,0,0,4,91,102,77,79,70,72,70,24
24050048,0,0,2,51,57,43,44,39,40,39,14
24050049,0,0,2,44,50,37,38,34,35,34,12
24050050,0,0,2,55,61,46,48,42,43,42,15
24050051,0,0,2,46,51,39,40,35,36,35,12
24050052,0,0,2,47,51,39,41,36,37,35,13
24050053,0,1,2,54,60,46,46,42,43,41,14
24050054,0,0,3,73,86,60,64,57,58,59,20
24050055,0,0,0,38,33,27,43,41,37,34,18
24050056,0,0,1,47,53,45,36,31,37,34,10
24050057,0,0,0,32,52,24,22,41,29,30,10
24050058,0,0,4,71,89,58,65,66,58,47,23
24050059,0,1,3,80,92,66,62,57,56,52,21
24050060,0,0,2,55,62,45,42,39,38,35,14
24050061,0,0,2,63,72,52,49,45,44,41,17
24050062,0,1,1,58,67,47,44,40,41,37,15
24050063,0,0,2,58,64,52,45,45,39,37,16
24050064,0,1,3,86,95,77,66,67,58,55,23
24050065,0,0,2,65,72,59,50,51,44,42,18
24050066,0,0,2,64,71,58,49,50,44,41,17
24050067,0,0,2,53,59,48,41,41,36,34,14
24050068,0,0,2,56,62,51,43,44,38,36,15
24050069,0,0,1,47,52,43,36,37,32,30,13
24050070,0,0,4,69,85,97,104,84,90,87,42
24060034,0,0,6,18,46,52,54,79,65,56,26
24060035,0,1,3,84,102,74,76,69,59,57,19
24060036,0,0,1,47,57,42,43,39,33,32,11
24060037,0,0,1,41,50,36,37,34,29,28,9
24060038,0,1,2,68,82,60,61,56,48,46,16
24060039,0,1,2,52,64,46,48,42,36,36,12
24060040,0,2,3,72,80,50,47,53,46,46,13
24060041,0,2,4,109,123,76,72,81,70,70,21
24060042,0,1,2,46,52,32,31,34,30,30,9
24060043,0,1,2,64,72,44,42,47,41,41,12
24060044,0,1,2,50,56,34,33,37,32,32,9
24060045,0,0,1,57,68,44,36,46,45,47,19
24060046,0,0,1,47,57,37,30,39,39,41,17
24060047,0,1,1,68,80,54,44,56,56,56,23
24060048,0,0,0,68,89,54,50,56,78,53,28
24060049,0,0,0,41,55,33,31,35,48,32,17
24060050,0,0,0,37,48,29,27,31,42,28,15
24060051,0,0,2,68,71,42,41,46,63,44,27
24060052,0,0,3,59,52,58,57,73,71,61,35
24060053,0,0,2,63,65,58,47,67,59,45,20
24060054,0,0,2,11,16,15,20,28,33,28,7
24060055,0,0,6,33,48,45,59,84,96,83,22
24060056,0,0,2,44,44,40,33,46,41,31,14
24060057,0,0,1,33,36,39,27,39,36,30,12
24060061,0,0,1,18,22,19,17,16,20,15,8
24060062,0,0,5,67,77,67,56,50,62,45,27
24060063,0,0,0,11,20,18,20,12,17,13,8
24060064,0,0,3,44,75,49,45,56,70,48,22
24060065,0,0,0,36,29,25,22,33,29,28,14
24060066,0,0,1,51,42,35,32,48,42,40,19
24060067,0,0,0,23,26,14,13,24,21,21,4
24060069,0,0,0,2,2,2,2,2,2,2,1
24060071,0,0,5,24,36,34,45,64,71,62,17
24070050,0,0,1,11,11,11,11,12,12,10,4
24070051,0,0,0,16,21,20,24,21,21,19,10
24070052,0,0,2,40,42,42,42,44,43,37,16
24070053,0,0,2,36,39,38,38,40,39,33,14
24070054,0,0,2,41,43,43,43,45,44,38,16
24070055,0,0,2,36,38,38,37,39,39,33,14
24070056,0,0,2,46,49,48,48,51,49,42,18
24070057,0,0,3,32,51,51,35,46,40,35,14
24070058,0,0,3,40,63,63,43,57,50,44,18
24070059,0,0,2,24,39,39,26,34,31,27,11
24070060,0,0,4,34,52,51,67,60,45,39,19
24070061,0,0,3,35,59,55,61,61,63,44,21
24070062,0,0,1,41,33,37,40,45,27,23,8
24070063,0,0,5,63,50,61,64,67,41,39,15
24070064,0,0,2,25,31,27,31,33,15,22,5
24070065,0,0,5,31,36,45,30,35,32,19,7
24070066,0,0,4,41,49,57,37,47,20,26,4
24070067,0,0,4,35,46,34,43,48,41,20,10
24070068,0,1,5,45,59,46,50,46,34,39,18
24070069,0,2,3,41,72,52,50,63,46,38,12
24070070,0,0,5,40,52,58,51,60,46,38,16
24070071,0,0,1,50,79,54,68,65,64,43,14
24070072,0,0,3,33,50,55,46,58,54,39,15
24070073,0,0,3,27,40,44,38,46,43,32,13
24070074,0,0,1,1,0,6,0,0,1,2,1
24070075,0,0,2,46,61,51,54,58,44,43,19
24070076,0,0,2,53,70,58,61,66,50,49,21
24070077,0,0,1,20,26,22,23,25,19,18,8
24070078,0,0,2,33,44,35,38,40,31,30,13
24070079,0,0,0,30,37,39,32,39,33,33,22
24070080,0,1,4,55,73,67,47,55,55,52,16
24070081,0,0,0,50,42,38,43,42,36,26,15
24070082,0,1,0,39,36,34,42,44,27,31,10
24070083,0,0,0,0,0,0,0,0,0,0,0
24070084,0,1,2,32,35,43,30,38,35,31,10
24070085,0,0,3,37,47,42,39,47,48,50,21
24070086,0,1,3,42,53,47,44,52,55,57,24
24070087,0,0,1,25,41,35,39,54,37,49,18
24070090,0,0,2,29,26,28,22,40,27,34,8
24070091,0,0,0,30,38,45,33,53,44,37,20
24070092,0,0,0,2,2,2,2,2,2,4,0
24070093,0,0,7,44,51,45,30,53,47,32,21
24070094,0,0,2,33,33,47,45,52,52,39,19
24070095,0,0,1,25,27,29,27,45,31,31,14
24080043,0,0,4,47,60,47,45,48,52,52,22
24080044,0,0,3,44,58,44,43,45,49,49,20
24080045,0,1,1,42,39,34,35,36,33,35,18
24080046,0,0,0,26,21,18,18,18,10,16,9
24080047,0,1,2,57,78,69,44,59,61,60,23
24080048,0,0,1,53,71,63,40,55,56,55,21
24080049,0,0,0,59,54,53,35,45,60,43,20
24080050,0,1,3,46,51,44,42,51,49,35,9
24080051,0,1,2,45,60,45,43,47,36,30,10
24080052,0,0,1,54,52,46,56,50,58,42,7
24080053,0,0,2,42,68,55,46,45,45,25,9
24080054,0,0,5,41,48,57,41,34,29,20,7
24080055,0,0,2,52,52,34,39,30,33,27,6
24080056,0,0,6,47,81,48,52,44,43,21,9
24080057,0,0,0,42,62,38,31,32,21,13,3
24080058,0,0,0,52,59,46,35,30,14,14,6
24080059,0,0,4,37,54,27,32,21,19,12,11
24080060,0,0,1,54,58,36,34,20,16,22,10
24080061,0,0,8,86,119,77,71,72,57,37,16
24080062,0,0,2,60,64,42,43,40,25,31,7
24080063,0,0,3,41,46,40,20,35,20,18,8
24080064,0,0,2,61,60,46,40,32,19,17,2
24080065,0,0,0,47,38,49,32,32,21,19,7
24080066,0,0,2,57,67,47,38,33,14,22,9
24080067,0,0,1,51,50,39,38,32,14,14,2
24080068,0,1,3,67,67,42,44,39,30,23,4
24080069,0,0,2,43,68,47,47,31,22,20,7
24080070,0,0,1,47,59,53,53,34,38,26,7
24080071,0,0,4,52,57,39,52,42,24,21,9
24080072,0,0,3,45,48,40,25,27,22,4,7
24080073,0,0,1,55,69,45,38,34,34,20,10
24080074,0,0,2,30,42,32,44,38,38,29,13
24080075,0,0,4,58,65,55,62,71,55,45,16
24080076,0,0,1,50,54,42,28,31,21,24,8
24080077,0,0,2,36,45,45,35,38,33,37,11
24080078,0,1,1,45,91,53,53,52,47,50,14
24080079,0,0,0,78,85,60,66,49,73,59,26
24080080,0,0,0,0,2,3,1,2,2,1,2
24080081,0,0,0,44,47,33,37,27,41,33,15
24080082,0,0,3,20,35,30,22,36,23,16,9
24080083,0,0,2,32,35,46,32,47,31,33,20
24080084,0,1,2,71,96,77,68,71,59,60,19
24080085,0,1,2,52,70,56,49,51,43,44,14
24080086,0,0,2,53,85,50,71,74,50,31,22
24080087,0,0,1,41,55,44,40,41,33,35,10
24080088,0,0,3,48,71,40,33,37,38,32,12
24090035,0,0,2,61,73,69,62,60,52,44,14
24090036,0,0,0,28,29,27,26,31,28,23,4
24090037,0,0,5,48,68,43,44,44,45,50,15
24090038,0,1,2,44,47,38,36,41,34,27,11
24090039,0,1,2,37,39,31,30,34,28,22,9
24090040,0,1,2,33,36,29,27,31,26,20,8
24090041,0,0,2,54,57,45,43,49,40,32,13
24090042,0,1,2,45,48,39,37,42,35,28,11
24090043,0,1,3,46,66,38,54,47,36,25,14
24090044,0,0,0,0,0,0,0,0,0,0,0
24090045,0,0,3,66,82,51,42,38,18,25,8
24090046,0,1,1,56,61,35,39,33,26,20,8
24090047,0,1,3,78,89,80,72,57,56,46,13
24090048,0,0,3,53,63,40,39,45,15,20,9
24090049,0,0,0,64,59,47,41,44,34,21,9
24090050,0,0,3,41,55,41,35,36,23,15,11
24090051,0,0,4,29,54,39,38,32,10,14,9
24090052,0,0,3,48,52,34,38,38,22,23,3
24090053,0,0,1,50,45,58,41,45,19,22,13
24090054,0,0,0,42,34,45,32,43,36,21,11
24090055,0,0,3,35,45,39,39,48,29,27,10
24090056,0,0,0,48,76,37,43,53,35,15,9
24090057,0,0,3,51,65,52,56,64,49,44,17
24090058,0,0,4,17,34,27,27,23,14,22,8
24090059,0,1,2,45,66,39,53,46,36,25,13
24090060,0,0,3,33,49,37,38,40,33,21,9
24090061,0,1,2,27,42,37,30,30,26,22,10
24090062,0,1,4,55,84,73,61,60,51,44,21
24090063,0,0,2,40,65,54,66,48,54,38,15
24090064,0,0,3,46,73,61,73,54,60,43,17
24090065,0,0,0,46,58,49,50,54,34,30,10
24090066,0,0,2,18,24,31,25,46,25,29,15
24090067,0,0,4,32,51,46,49,54,69,38,21
24090068,0,0,1,27,27,31,24,36,39,32,9
24090069,0,0,1,44,58,53,52,63,57,44,24
24090070,0,0,1,41,53,49,48,58,52,41,22
24090073,0,0,3,39,58,44,45,47,39,25,11
24090074,0,0,3,29,43,32,33,35,29,18,8
24090075,0,0,4,41,61,46,48,50,41,26,11
24090076,0,0,6,66,98,74,77,80,66,42,18
24090077,0,1,3,42,62,47,49,50,41,28,12
24100074,0,0,10,71,99,70,67,65,54,37,15
24100075,0,0,4,63,102,65,63,47,43,21,5
24100076,0,0,5,47,93,57,77,49,51,20,7
24100077,0,0,7,73,100,63,61,56,47,11,5
24100078,0,3,4,76,68,72,59,62,54,22,3
24100079,0,2,7,88,140,102,83,92,59,48,11
24100080,0,1,2,70,75,70,67,41,32,15,5
24100081,0,1,2,63,74,81,61,54,38,23,7
24100082,0,1,3,93,93,68,68,73,37,35,11
24100083,0,4,19,460,554,366,335,268,187,95,23
24100084,0,0,2,68,93,56,55,38,28,17,8
24100085,0,1,2,61,71,54,45,37,24,13,4
24100086,0,0,2,68,76,51,41,36,22,8,4
24100087,0,1,3,62,83,62,50,42,16,13,10
24100088,0,1,10,122,134,109,103,78,33,23,8
24100089,0,0,1,53,47,44,36,21,16,4,1
24100090,0,0,1,60,66,48,39,24,15,13,2
24100091,0,0,3,44,61,38,27,26,16,7,1
24100092,0,0,5,59,85,53,53,30,24,5,3
24100093,0,0,1,78,84,42,32,40,8,6,4
24100094,0,0,2,56,76,49,34,25,21,12,3
24100095,0,0,2,34,58,41,39,28,15,9,2
24100096,0,0,5,47,78,39,44,34,26,10,7
24100097,0,3,10,159,233,166,175,161,101,56,14
24100098,0,0,6,50,51,47,44,52,30,9,4
24100099,0,1,2,42,66,48,57,38,20,14,5
24100100,0,0,1,64,67,43,42,28,13,5,1
24100101,0,0,0,82,90,53,52,49,28,13,5
24100102,0,0,7,82,83,57,44,28,19,12,2
24100106,0,2,4,92,97,66,71,44,38,23,3
24100107,0,1,3,91,147,114,106,107,53,49,11
24100108,0,2,4,80,102,83,74,64,33,25,4
24100109,0,0,4,47,60,46,52,43,10,16,6
24100110,0,0,3,44,72,38,41,28,16,8,1
24100111,0,0,1,49,72,58,28,29,14,9,2
24100112,0,0,1,47,68,51,33,31,19,7,3
24100113,0,0,2,47,81,40,40,26,14,14,5
24100114,0,0,1,42,74,41,46,29,19,11,0
24100115,0,3,10,118,149,108,85,85,69,44,14
24100116,0,0,3,71,79,56,57,52,27,24,10
24100117,0,0,4,79,88,50,47,25,22,18,3
24100118,0,1,5,60,70,46,43,52,25,21,7
24100119,0,1,6,53,62,39,46,38,37,19,4
24100120,0,0,2,66,69,46,40,36,19,19,4
24100121,0,0,7,89,120,83,58,48,25,20,6
24100122,0,5,13,79,101,72,90,85,51,31,10
24100123,0,4,6,93,117,78,99,85,50,28,9
24100124,0,1,5,52,72,42,50,57,40,17,6
24100125,0,1,4,49,71,45,45,42,19,15,4
24100126,0,1,4,45,74,41,48,42,16,22,4
24100127,0,2,3,54,85,52,55,45,22,15,4
24100128,0,2,7,83,132,76,72,59,35,21,6
24100129,0,0,5,64,81,62,36,32,22,11,4
24100130,0,2,10,80,110,82,73,66,48,36,13
24100131,0,1,7,57,78,58,52,47,34,26,9
24100132,0,1,8,67,91,68,60,55,39,30,11
24100133,0,1,6,51,70,52,46,42,30,23,8
24100134,0,1,7,60,81,61,55,49,35,27,9
24100135,0,2,2,51,68,52,52,41,33,44,15
24100136,0,1,1,45,59,45,46,36,30,40,14
24100137,0,0,0,63,94,81,93,61,57,50,15
24100138,0,0,6,49,100,63,71,69,41,34,20
24100139,0,2,1,56,87,72,56,70,61,47,25
24100140,0,4,3,79,120,103,93,89,74,75,22
24100141,0,2,3,52,57,58,73,51,49,36,13
24100142,0,0,3,51,65,56,64,66,48,35,15
24100143,0,1,6,81,111,81,82,88,56,55,20
24100144,0,1,6,89,121,88,90,96,61,59,21
24100145,0,1,6,89,122,89,91,97,62,60,22
24100146,0,0,3,48,65,48,48,51,33,32,11
24100147,0,0,4,78,116,94,73,84,75,72,36
24100148,0,0,2,29,45,33,35,35,33,29,12
24100149,0,0,0,39,32,42,42,32,36,41,22
24100150,0,0,3,58,92,68,72,70,68,60,24
24100151,0,0,3,28,32,17,24,19,16,34,10
24100152,0,0,0,43,50,28,38,59,32,31,12
24100153,0,0,0,4,3,5,5,3,4,4,2
24100154,0,0,2,49,41,48,51,42,33,39,25
24100155,0,0,2,60,79,63,63,55,45,39,17
24100156,0,0,1,29,37,30,29,27,22,19,8
24100157,0,0,1,27,36,29,27,26,21,18,7
24100158,0,0,2,67,88,70,68,63,49,45,18
24100159,0,0,4,49,65,49,34,44,18,9,8
24100160,0,1,4,73,78,59,45,41,23,7,2
24100161,0,0,2,48,51,33,29,30,18,13,3
24100162,0,1,5,48,76,44,46,49,39,28,9
24100163,0,0,0,0,1,1,0,1,0,0,0
24100164,0,1,3,38,53,31,26,33,14,7,4
24100167,0,0,17,168,211,140,166,141,85,49,14
24100168,0,1,9,99,142,78,83,58,33,18,7
24110021,0,2,3,45,53,48,35,44,27,19,8
24110022,0,2,3,55,93,72,69,86,58,32,13
24110024,0,0,0,25,28,17,23,26,17,17,13
24110025,0,0,1,8,6,4,11,5,3,3,3
24110026,0,0,1,32,46,44,40,43,33,32,12
24110027,0,0,2,23,44,22,32,49,29,26,19
24110028,0,0,1,22,31,29,27,29,22,21,8
24110029,0,0,1,28,40,38,35,37,28,27,10
24110030,0,0,1,38,54,51,47,50,38,37,14
24110031,0,1,0,37,44,44,40,42,32,30,14
24110032,0,0,1,28,31,30,28,27,20,11,3
24110033,0,0,3,36,40,37,35,35,25,15,6
24110034,0,0,3,36,40,37,35,35,25,15,6
24110035,0,0,3,49,54,51,48,48,34,21,8
24110036,0,0,3,44,48,46,43,43,31,18,7
24110037,0,0,4,51,56,53,49,49,36,21,8
24110038,0,0,4,53,58,55,51,51,37,22,9
24110039,0,0,2,30,33,31,29,29,21,12,5
24110040,0,0,3,44,49,46,43,43,31,18,7
24110041,0,2,4,58,63,65,57,53,40,25,7
24110042,0,0,0,27,46,29,29,43,27,23,9
24110043,0,0,3,45,65,58,46,52,33,33,7
24120050,0,1,2,42,47,42,43,43,30,21,8
24120051,0,0,2,43,47,40,49,44,25,25,6
24120052,0,1,1,30,32,29,30,28,22,14,5
24120053,0,0,2,42,61,41,40,53,42,29,13
24120054,0,0,4,42,49,27,28,33,27,16,12
24120055,0,0,1,32,37,18,37,16,27,13,5
24120056,0,0,2,34,50,34,34,43,34,24,11
24120057,0,1,3,78,82,62,68,81,56,51,24
24120058,0,1,2,47,49,37,41,48,33,31,14
24120059,0,1,2,49,65,36,31,41,28,30,7
24120060,0,1,3,46,49,42,41,46,33,21,8
24120061,0,0,3,42,60,35,35,34,36,27,12
24120062,0,0,5,127,176,109,98,97,61,34,15
24120063,0,0,6,108,123,96,89,86,47,45,7
24120064,0,0,0,53,80,47,48,39,19,19,2
24120065,0,0,6,37,47,29,22,21,23,19,5
24120066,0,0,0,25,38,34,36,35,15,11,5
24120067,0,0,1,53,60,35,38,31,24,14,6
24120068,0,0,0,40,61,35,29,24,16,9,3
24120069,0,0,2,41,64,44,32,33,22,11,3
24120070,0,0,0,38,54,37,44,40,19,14,7
24120071,0,0,5,75,89,50,72,58,32,29,10
24120072,0,1,5,43,61,45,43,32,20,13,1
24120073,0,0,2,51,60,50,17,22,27,10,3
24120074,0,0,3,37,42,28,20,18,15,6,0
24120075,0,1,3,50,62,53,52,35,19,22,6
24120076,0,0,2,58,57,41,39,27,14,6,0
24120077,0,2,7,72,78,50,37,38,25,14,5
24120078,0,0,4,65,63,50,42,44,30,15,4
24120079,0,0,2,54,52,52,47,34,20,16,4
24120080,0,0,2,68,71,43,40,27,19,14,3
24120081,0,0,2,50,56,41,31,37,17,10,5
24120082,0,1,6,53,62,49,47,35,18,21,3
24120083,0,2,10,178,219,137,140,126,74,62,18
24120084,0,0,1,80,64,64,52,36,31,19,11
24120085,0,0,1,47,47,45,41,47,26,21,9
24120086,0,0,8,130,135,82,63,45,26,15,4
24120087,0,0,17,158,147,102,112,109,43,18,8
24120088,0,1,7,65,90,57,55,77,26,20,6
24120089,0,0,3,58,83,49,58,69,24,20,5
24120090,0,0,5,32,40,36,38,40,28,22,7
24120091,0,0,2,32,39,28,24,30,19,16,3
24120092,0,1,2,42,53,33,29,38,14,9,7
24120093,0,0,9,119,133,83,91,56,54,28,6
24120094,0,0,3,61,78,54,51,58,42,38,14
24120095,0,1,5,90,114,79,75,84,61,56,20
24120096,0,0,3,65,82,57,54,61,44,40,15
24120097,0,0,2,47,60,41,40,45,32,29,11
24120098,0,0,3,53,68,47,45,50,36,33,12
24120099,0,0,3,66,85,58,56,63,45,41,15
24120100,0,0,6,52,71,59,59,55,35,25,8
24120101,0,1,8,72,98,80,81,76,49,33,10
24120102,0,1,4,84,107,74,71,79,58,52,19
24120106,0,0,1,20,36,24,29,27,23,19,9
24120107,0,0,2,55,75,69,52,55,38,37,15
24120108,0,0,1,40,55,51,38,40,28,27,11
24120109,0,0,6,88,102,76,70,73,54,35,13
24120110,0,0,1,28,31,28,28,27,21,13,5
24120111,0,2,2,75,86,70,62,82,58,32,12
24120112,0,1,1,48,56,45,41,54,38,21,8
24120113,0,0,4,61,71,53,49,51,38,24,9
24120117,0,0,2,46,81,54,64,61,51,43,20
24120118,0,0,1,40,70,47,55,53,44,38,16
24120119,0,1,5,79,92,69,62,67,48,31,13
24130039,0,0,1,52,73,48,63,65,39,29,25
24130040,0,0,1,35,42,31,26,32,26,31,12
24130041,0,0,1,41,50,37,30,38,30,36,14
24130042,0,0,2,44,53,40,33,40,32,39,15
24130043,0,0,2,39,51,47,42,61,36,40,9
24130044,0,0,3,23,43,31,24,33,21,29,12
24130045,0,0,2,38,56,32,50,56,30,36,13
24130046,0,0,1,70,94,55,67,60,59,42,19
24130047,0,0,3,58,71,51,68,52,52,54,20
24130048,0,0,6,61,68,60,57,60,51,51,17
24130049,0,2,2,56,65,53,43,52,44,30,5
24130050,0,0,5,63,56,42,40,43,46,24,12
24130051,0,1,4,62,68,59,48,54,45,25,10
24130052,0,0,0,24,39,31,24,36,23,20,8
24130053,0,0,2,46,76,57,52,63,45,42,20
24130054,0,0,0,39,52,40,31,34,34,37,18
24130055,0,0,2,41,56,41,44,41,33,28,12
24130056,0,0,2,35,47,35,37,35,28,23,10
24130057,0,0,1,40,54,39,41,39,32,26,11
24130058,0,0,4,38,52,41,41,35,32,27,12
24130059,0,0,6,55,76,60,60,51,48,40,17
24130060,0,0,2,24,33,26,26,22,20,17,7
24130061,0,0,5,51,70,55,55,47,44,37,16
24130062,0,0,3,32,45,35,35,30,28,24,10
24130063,0,1,4,42,57,44,45,38,36,31,13
24130064,0,0,2,25,36,24,27,30,17,16,11
24130065,0,0,3,43,54,41,33,34,32,19,12
24130066,0,0,3,38,48,24,26,28,26,22,10
24130067,0,0,2,44,53,40,45,45,36,24,10
24130068,0,0,2,41,50,37,42,42,34,23,10
24130069,0,1,3,43,53,39,44,44,36,23,10
24130070,0,1,5,93,100,76,72,74,56,43,16
24130071,0,0,3,51,55,42,40,41,31,24,9
24130072,0,0,2,45,48,37,35,36,27,21,8
24130073,0,0,3,54,59,44,42,43,33,25,10
24130074,0,1,4,67,72,55,52,52,40,31,12
24130075,0,0,3,53,57,44,41,42,32,25,9
24130076,0,1,4,50,64,44,47,39,34,26,7
24130077,0,1,2,70,85,50,48,60,51,49,20
24130078,0,0,4,56,70,49,52,44,37,30,8
24130079,0,0,3,36,45,31,33,28,24,19,5
24130080,0,1,3,50,63,45,46,40,34,26,7
24130081,0,1,2,13,15,2,10,17,9,5,5
24130082,0,0,2,42,53,39,32,34,32,19,11
24140048,0,0,2,31,40,25,26,28,21,16,8
