ADIDU,no_corr,gr0,gr1,gr2,gr3,gr4,gr5,gr6,gr7,gr8,gr9
24860077,0,0,6,40,82,53,45,40,50,11,6
24860078,0,1,2,38,57,44,49,43,52,22,6
24860079,0,0,1,48,42,48,56,38,37,24,7
24860080,0,0,1,43,60,49,45,43,38,16,13
24860082,0,1,3,90,122,91,89,69,81,27,17
24860083,0,0,5,48,58,40,43,32,37,20,6
24860084,0,0,2,43,61,35,21,37,23,18,6
24860085,0,0,1,47,56,41,35,23,27,16,6
24860086,0,0,2,53,70,53,54,40,40,17,11
24860087,0,0,3,59,40,40,39,35,30,21,7
24860088,0,0,1,38,41,29,29,32,16,14,9
24860089,0,0,1,62,61,59,51,36,49,19,6
24860090,1,0,1,49,51,34,26,29,23,11,2
24860091,0,1,1,49,63,33,40,43,46,15,12
24860092,0,0,3,47,50,42,35,35,26,16,7
24860093,0,1,0,43,57,55,43,38,27,24,11
24860094,0,0,3,44,44,31,35,47,30,15,7
24860095,0,0,1,53,64,48,35,36,28,19,8
24860096,0,0,2,36,29,30,28,24,18,10,3
24860097,0,0,0,41,61,36,38,34,22,18,14
24860098,0,0,2,62,37,39,26,18,22,14,7
24860099,0,0,3,52,59,40,50,38,29,9,8
24860100,0,0,0,43,44,39,32,29,27,19,9
24860101,0,0,2,57,60,45,58,31,37,31,7
24860102,0,0,5,59,68,42,49,35,37,26,12
24860103,0,0,4,64,71,46,60,50,47,15,13
24860104,0,0,1,63,66,43,38,48,42,23,8
24860105,0,0,3,42,51,39,43,34,35,35,15
24860106,0,0,2,39,47,31,32,47,36,21,14
24860107,0,0,6,99,103,73,95,93,80,37,16
24860108,0,0,3,68,76,36,44,44,40,21,8
24860109,0,0,9,85,92,78,95,58,58,25,14
24860110,0,0,2,41,51,36,44,46,43,20,12
24860112,0,1,2,64,71,61,59,52,33,23,10
24860113,0,0,3,55,52,37,35,36,36,22,6
24860114,0,0,1,58,43,33,27,25,24,15,8
24860119,0,0,3,53,70,59,61,72,73,52,31
24860120,0,0,8,73,75,51,55,75,79,64,25
24860123,0,1,8,94,114,82,88,113,100,59,29
24860124,0,1,3,48,52,37,43,51,45,26,16
24860125,0,1,4,65,72,51,58,71,67,41,24
24860126,0,1,3,52,57,40,47,56,50,30,17
24860128,0,0,4,65,67,53,59,70,66,39,25
24860140,0,0,1,36,42,36,29,37,44,26,25
24860141,0,0,3,49,59,45,45,59,45,51,16
24860142,0,1,4,90,114,101,92,127,118,87,32
24860143,0,0,1,39,62,44,46,68,52,50,23
24860144,0,0,3,86,118,90,88,124,119,87,35
24860145,0,0,8,93,133,101,120,120,128,85,28
24860146,0,1,4,72,99,74,67,80,68,41,22
24860147,0,0,2,24,42,35,39,45,51,43,32
24860148,0,1,3,44,59,43,55,48,60,45,22
24860149,0,0,4,62,71,49,57,68,68,61,27
24860150,0,0,5,50,44,54,39,43,50,23,12
24860151,0,2,5,124,114,97,100,122,121,76,30
24860152,0,0,7,96,127,90,110,125,117,92,48
24860153,0,0,2,54,55,56,41,55,65,43,28
24860154,0,0,9,143,185,148,155,196,197,136,67
24860155,0,0,2,24,32,23,30,26,33,25,12
24860156,0,0,3,73,116,91,91,94,118,92,42
24860157,0,1,6,63,77,66,75,78,74,54,30
24860158,0,0,7,82,107,65,90,102,106,84,35
24860159,0,0,4,44,57,44,29,28,38,30,18
24860160,0,0,5,39,53,28,42,46,46,26,11
24870043,0,0,0,2,2,3,3,2,4,4,2
24870044,0,1,0,32,29,27,26,32,36,36,19
24870045,0,0,0,12,12,15,13,11,18,22,10
24870046,0,1,9,35,47,41,38,38,61,54,17
24870047,0,0,2,35,42,41,32,42,55,44,19
24870048,0,0,2,28,34,34,27,34,45,37,16
24870049,0,0,1,11,23,27,15,25,32,9,10
24870050,0,0,2,43,54,41,41,49,59,46,24
24870051,0,0,0,28,33,31,33,33,44,40,23
24870052,0,0,2,42,52,39,40,48,57,45,23
24870053,0,0,3,27,32,26,34,44,52,38,17
24870054,0,1,1,36,42,41,40,53,41,56,16
24870055,0,0,3,28,41,36,37,43,50,42,17
24870056,0,2,9,80,121,108,105,103,107,83,31
24870057,0,0,1,38,52,45,33,21,40,22,9
24870058,0,0,2,35,46,36,29,35,27,25,12
24870059,0,0,3,36,42,34,42,42,31,25,18
24870060,0,0,2,35,37,37,30,26,48,38,22
24870061,0,0,4,54,41,48,42,54,54,43,16
24870062,0,1,4,22,27,26,22,36,35,38,18
