groupe,emission
0,6.9
1,47.57441354925438
2,170.1583536321913
3,190.7955009694743
4,210.4634225738512
5,234.4676431962614
6,263.2750992275238
7,291.60069687100724
8,331.19125841148247
9,375.9078872403449
