import des bases...
importé

filtrage ADs dans base vehicules...
fin

emissions totales : 5.014782117362005 Mtonnes de CO2

on part de 5.014782117362005 et on veut 1.9822 (diminution de 60.47285896754525%)

2.898135440160746 Mtonnes encore à gagner
2.897311656628208 Mtonnes encore à gagner
2.8972995101417416 Mtonnes encore à gagner
2.897257886017318 Mtonnes encore à gagner
2.8881449816254516 Mtonnes encore à gagner
2.8881449816254516 Mtonnes encore à gagner
2.8880340664830193 Mtonnes encore à gagner
2.8880340664830193 Mtonnes encore à gagner
2.8880340664830193 Mtonnes encore à gagner
2.8879538786994647 Mtonnes encore à gagner
2.887033091057879 Mtonnes encore à gagner
2.8869740537562407 Mtonnes encore à gagner
2.877780133239236 Mtonnes encore à gagner
2.877580657323671 Mtonnes encore à gagner
2.877580657323671 Mtonnes encore à gagner
2.8650194440051866 Mtonnes encore à gagner
2.8636311430163905 Mtonnes encore à gagner
2.863450882810924 Mtonnes encore à gagner
2.854400455861187 Mtonnes encore à gagner
2.854027143573931 Mtonnes encore à gagner
2.8523032637275962 Mtonnes encore à gagner
2.852238678100048 Mtonnes encore à gagner
2.847564791335304 Mtonnes encore à gagner
2.844241043495324 Mtonnes encore à gagner
2.844241043495324 Mtonnes encore à gagner
2.842106079636971 Mtonnes encore à gagner
2.835155613052299 Mtonnes encore à gagner
2.833824366525681 Mtonnes encore à gagner
2.831269308563524 Mtonnes encore à gagner
2.8312164119287555 Mtonnes encore à gagner
2.83116506335909 Mtonnes encore à gagner
2.8249980953972864 Mtonnes encore à gagner
2.8249980953972864 Mtonnes encore à gagner
2.824885271954165 Mtonnes encore à gagner
2.824885271954165 Mtonnes encore à gagner
2.823399311061907 Mtonnes encore à gagner
2.8176000733838817 Mtonnes encore à gagner
2.817550157267844 Mtonnes encore à gagner
2.815318527386779 Mtonnes encore à gagner
2.812521594227128 Mtonnes encore à gagner
2.8114428528505355 Mtonnes encore à gagner
2.8113577064386215 Mtonnes encore à gagner
2.8113577064386215 Mtonnes encore à gagner
2.8113577064386215 Mtonnes encore à gagner
2.802317105721131 Mtonnes encore à gagner
2.798691682645363 Mtonnes encore à gagner
2.7986409063685436 Mtonnes encore à gagner
2.793809479866642 Mtonnes encore à gagner
2.7935952207939145 Mtonnes encore à gagner
2.7935952207939145 Mtonnes encore à gagner
2.790040764546127 Mtonnes encore à gagner
2.7880323648717713 Mtonnes encore à gagner
2.7878450266179158 Mtonnes encore à gagner
2.7805984331392457 Mtonnes encore à gagner
2.7805984331392457 Mtonnes encore à gagner
2.7697591214020285 Mtonnes encore à gagner
2.769574558295229 Mtonnes encore à gagner
2.769574558295229 Mtonnes encore à gagner
2.767566824275332 Mtonnes encore à gagner
2.7607261222795794 Mtonnes encore à gagner
2.760591610243991 Mtonnes encore à gagner
2.7604923965714487 Mtonnes encore à gagner
2.759662909735834 Mtonnes encore à gagner
2.7505679572931516 Mtonnes encore à gagner
2.7464283299857692 Mtonnes encore à gagner
2.7464283299857692 Mtonnes encore à gagner
2.746248693726187 Mtonnes encore à gagner
2.7453782181510133 Mtonnes encore à gagner
2.7429574903872567 Mtonnes encore à gagner
2.741114607623752 Mtonnes encore à gagner
2.738796866876993 Mtonnes encore à gagner
2.7370969846520303 Mtonnes encore à gagner
2.734163501556946 Mtonnes encore à gagner
2.7315829284716022 Mtonnes encore à gagner
2.731501070871791 Mtonnes encore à gagner
2.731490390967136 Mtonnes encore à gagner
2.731490390967136 Mtonnes encore à gagner
2.7200917116209657 Mtonnes encore à gagner
2.7200917116209657 Mtonnes encore à gagner
2.7199971789494954 Mtonnes encore à gagner
2.7198228510884306 Mtonnes encore à gagner
2.719535115190739 Mtonnes encore à gagner
2.7181360262786285 Mtonnes encore à gagner
2.7180742186743165 Mtonnes encore à gagner
2.7180742186743165 Mtonnes encore à gagner
2.7168948137384783 Mtonnes encore à gagner
2.7168866661214732 Mtonnes encore à gagner
2.7168218602080403 Mtonnes encore à gagner
2.706084808936911 Mtonnes encore à gagner
2.706084808936911 Mtonnes encore à gagner
2.6997821536697204 Mtonnes encore à gagner
2.6997821536697204 Mtonnes encore à gagner
2.6919119335476767 Mtonnes encore à gagner
2.691293898498432 Mtonnes encore à gagner
2.674734578208321 Mtonnes encore à gagner
2.673868243028495 Mtonnes encore à gagner
2.673868243028495 Mtonnes encore à gagner
2.661813501593773 Mtonnes encore à gagner
2.6549940127371654 Mtonnes encore à gagner
2.6499580195585484 Mtonnes encore à gagner
2.648233693952027 Mtonnes encore à gagner
2.648233693952027 Mtonnes encore à gagner
2.639102505062719 Mtonnes encore à gagner
2.6371472411458603 Mtonnes encore à gagner
2.6370454310297067 Mtonnes encore à gagner
2.6370454310297067 Mtonnes encore à gagner
2.6312924422570134 Mtonnes encore à gagner
2.627262891877262 Mtonnes encore à gagner
2.627262891877262 Mtonnes encore à gagner
2.622203848714067 Mtonnes encore à gagner
2.620339855584678 Mtonnes encore à gagner
2.6152373366645074 Mtonnes encore à gagner
2.6113325303303947 Mtonnes encore à gagner
2.6113325303303947 Mtonnes encore à gagner
2.6113325303303947 Mtonnes encore à gagner
2.606950584199538 Mtonnes encore à gagner
2.601721061708739 Mtonnes encore à gagner
2.600738074219204 Mtonnes encore à gagner
2.600738074219204 Mtonnes encore à gagner
2.600738074219204 Mtonnes encore à gagner
2.6006250325489875 Mtonnes encore à gagner
2.5870919628589837 Mtonnes encore à gagner
2.5845994116164386 Mtonnes encore à gagner
2.5845994116164386 Mtonnes encore à gagner
2.5838118541971893 Mtonnes encore à gagner
2.5838118541971893 Mtonnes encore à gagner
2.5838118541971893 Mtonnes encore à gagner
2.57625242290168 Mtonnes encore à gagner
2.550784691459878 Mtonnes encore à gagner
2.5498926343938715 Mtonnes encore à gagner
2.5492951559188466 Mtonnes encore à gagner
2.5452417740790274 Mtonnes encore à gagner
2.5451614036342782 Mtonnes encore à gagner
2.5451614036342782 Mtonnes encore à gagner
2.54375734648675 Mtonnes encore à gagner
2.537054622281638 Mtonnes encore à gagner
2.524718088853305 Mtonnes encore à gagner
2.5246639237443755 Mtonnes encore à gagner
2.5246639237443755 Mtonnes encore à gagner
2.5183394890580937 Mtonnes encore à gagner
2.514237432152827 Mtonnes encore à gagner
2.512034820945633 Mtonnes encore à gagner
2.511383390610905 Mtonnes encore à gagner
2.5104307907991785 Mtonnes encore à gagner
2.510194278626379 Mtonnes encore à gagner
2.510054132947104 Mtonnes encore à gagner
2.510054132947104 Mtonnes encore à gagner
2.5095609664336074 Mtonnes encore à gagner
2.5094615872667125 Mtonnes encore à gagner
2.5065531030500647 Mtonnes encore à gagner
2.5044258221107905 Mtonnes encore à gagner
2.504391709670342 Mtonnes encore à gagner
2.504391709670342 Mtonnes encore à gagner
2.496029348329299 Mtonnes encore à gagner
2.492493255169064 Mtonnes encore à gagner
2.485874059671689 Mtonnes encore à gagner
2.477684202512159 Mtonnes encore à gagner
2.471723438149941 Mtonnes encore à gagner
2.4697036715755267 Mtonnes encore à gagner
2.4696167191234073 Mtonnes encore à gagner
2.4572333247515603 Mtonnes encore à gagner
2.4520514915466736 Mtonnes encore à gagner
2.4505038822726792 Mtonnes encore à gagner
2.44789120641555 Mtonnes encore à gagner
2.4449479298156414 Mtonnes encore à gagner
2.4435684817630223 Mtonnes encore à gagner
2.4435684817630223 Mtonnes encore à gagner
2.4413396174697883 Mtonnes encore à gagner
2.4412830248361663 Mtonnes encore à gagner
2.430929704460703 Mtonnes encore à gagner
2.4292669630229717 Mtonnes encore à gagner
2.4286790829696914 Mtonnes encore à gagner
2.4279135555461684 Mtonnes encore à gagner
2.4279135555461684 Mtonnes encore à gagner
2.4237896116925484 Mtonnes encore à gagner
2.4226730079377887 Mtonnes encore à gagner
2.4009088674504167 Mtonnes encore à gagner
2.4009088674504167 Mtonnes encore à gagner
2.4009088674504167 Mtonnes encore à gagner
2.399873598949079 Mtonnes encore à gagner
2.397777672760186 Mtonnes encore à gagner
2.397601005600607 Mtonnes encore à gagner
2.3878959915089597 Mtonnes encore à gagner
2.3878762002755076 Mtonnes encore à gagner
2.3845666375751753 Mtonnes encore à gagner
2.384463960834001 Mtonnes encore à gagner
2.3831844018116204 Mtonnes encore à gagner
2.3766090883012048 Mtonnes encore à gagner
2.3674642124372562 Mtonnes encore à gagner
2.3660479311696125 Mtonnes encore à gagner
2.352358689201381 Mtonnes encore à gagner
2.3523333029330837 Mtonnes encore à gagner
2.3515317299725744 Mtonnes encore à gagner
2.3515317299725744 Mtonnes encore à gagner
2.351395920304836 Mtonnes encore à gagner
2.3433413336964453 Mtonnes encore à gagner
2.3370089141671224 Mtonnes encore à gagner
2.3362589044971074 Mtonnes encore à gagner
2.32940142912775 Mtonnes encore à gagner
2.315546154246576 Mtonnes encore à gagner
2.3104933670187133 Mtonnes encore à gagner
2.3072027391338903 Mtonnes encore à gagner
2.3070866032039428 Mtonnes encore à gagner
2.2941707486947474 Mtonnes encore à gagner
2.2940744998073983 Mtonnes encore à gagner
2.2940744998073983 Mtonnes encore à gagner
2.2906067959121117 Mtonnes encore à gagner
2.284605957179674 Mtonnes encore à gagner
2.2845444101597625 Mtonnes encore à gagner
2.280051216888306 Mtonnes encore à gagner
2.2692782913718563 Mtonnes encore à gagner
2.2615856851602523 Mtonnes encore à gagner
2.261503908804376 Mtonnes encore à gagner
2.2582143733323425 Mtonnes encore à gagner
2.2569766742434485 Mtonnes encore à gagner
2.254722628844032 Mtonnes encore à gagner
2.2401096546767505 Mtonnes encore à gagner
2.2400554794662284 Mtonnes encore à gagner
2.233851086572897 Mtonnes encore à gagner
2.233851086572897 Mtonnes encore à gagner
2.228790074392812 Mtonnes encore à gagner
2.22223120196725 Mtonnes encore à gagner
2.222222657379013 Mtonnes encore à gagner
2.2031022959106723 Mtonnes encore à gagner
2.202162792684261 Mtonnes encore à gagner
2.199897569481295 Mtonnes encore à gagner
2.1998614365520828 Mtonnes encore à gagner
2.199825424640718 Mtonnes encore à gagner
2.1884138961414985 Mtonnes encore à gagner
2.1643601037811315 Mtonnes encore à gagner
2.1609410218539047 Mtonnes encore à gagner
2.1607919985958075 Mtonnes encore à gagner
2.157053244247237 Mtonnes encore à gagner
2.157011410320017 Mtonnes encore à gagner
2.1550203766762666 Mtonnes encore à gagner
2.153096726494157 Mtonnes encore à gagner
2.1530854889157673 Mtonnes encore à gagner
2.1516632154997586 Mtonnes encore à gagner
2.1444324375602326 Mtonnes encore à gagner
2.137182930345003 Mtonnes encore à gagner
2.137154934164638 Mtonnes encore à gagner
2.137051116200274 Mtonnes encore à gagner
2.136997998005567 Mtonnes encore à gagner
2.1355562919720548 Mtonnes encore à gagner
2.1355562919720548 Mtonnes encore à gagner
2.128596220599042 Mtonnes encore à gagner
