import des bases...
importé

filtrage ADs dans base vehicules...
fin

emissions totales : 4.323088032208625 Mtonnes de CO2

on part de 4.323088032208625 et on veut 1.69487 (diminution de 60.79492281044051%)

2.6282180322086255 Mtonnes encore à gagner
2.6282180322086255 Mtonnes encore à gagner
2.6282180322086255 Mtonnes encore à gagner
2.6282180322086255 Mtonnes encore à gagner
2.628032069560679 Mtonnes encore à gagner
2.628032069560679 Mtonnes encore à gagner
2.628032069560679 Mtonnes encore à gagner
2.6279371036769206 Mtonnes encore à gagner
2.6279371036769206 Mtonnes encore à gagner
2.627757543690705 Mtonnes encore à gagner
2.627757543690705 Mtonnes encore à gagner
2.627757543690705 Mtonnes encore à gagner
2.627757543690705 Mtonnes encore à gagner
2.6262703443489643 Mtonnes encore à gagner
2.626193635661614 Mtonnes encore à gagner
2.6258185785344557 Mtonnes encore à gagner
2.625069713586802 Mtonnes encore à gagner
2.625069713586802 Mtonnes encore à gagner
2.625069713586802 Mtonnes encore à gagner
2.625069713586802 Mtonnes encore à gagner
2.625069713586802 Mtonnes encore à gagner
2.625069713586802 Mtonnes encore à gagner
2.625069713586802 Mtonnes encore à gagner
2.625069713586802 Mtonnes encore à gagner
2.625069713586802 Mtonnes encore à gagner
2.6248712555876654 Mtonnes encore à gagner
2.6248712555876654 Mtonnes encore à gagner
2.6205311105093303 Mtonnes encore à gagner
2.6205311105093303 Mtonnes encore à gagner
2.6205311105093303 Mtonnes encore à gagner
2.6205311105093303 Mtonnes encore à gagner
2.6204307146561074 Mtonnes encore à gagner
2.6185468329716803 Mtonnes encore à gagner
2.618409028242845 Mtonnes encore à gagner
2.6181450649648914 Mtonnes encore à gagner
2.615928012093889 Mtonnes encore à gagner
2.615928012093889 Mtonnes encore à gagner
2.6153115492910306 Mtonnes encore à gagner
2.6153115492910306 Mtonnes encore à gagner
2.6153115492910306 Mtonnes encore à gagner
2.6153115492910306 Mtonnes encore à gagner
2.6125660259436145 Mtonnes encore à gagner
2.6124703582661137 Mtonnes encore à gagner
2.6124134777314643 Mtonnes encore à gagner
2.6121500421628836 Mtonnes encore à gagner
2.6121500421628836 Mtonnes encore à gagner
2.612130630183368 Mtonnes encore à gagner
2.612130630183368 Mtonnes encore à gagner
2.6117805353425467 Mtonnes encore à gagner
2.6117805353425467 Mtonnes encore à gagner
2.6117805353425467 Mtonnes encore à gagner
2.611730463370237 Mtonnes encore à gagner
2.611730463370237 Mtonnes encore à gagner
2.611730463370237 Mtonnes encore à gagner
2.6115773536910964 Mtonnes encore à gagner
2.6114450550781276 Mtonnes encore à gagner
2.6114450550781276 Mtonnes encore à gagner
2.609690362962481 Mtonnes encore à gagner
2.609690362962481 Mtonnes encore à gagner
2.6033285792298644 Mtonnes encore à gagner
2.598024333040887 Mtonnes encore à gagner
2.598024333040887 Mtonnes encore à gagner
2.5979064948713395 Mtonnes encore à gagner
2.5976364524917406 Mtonnes encore à gagner
2.5956789848024098 Mtonnes encore à gagner
2.5956789848024098 Mtonnes encore à gagner
2.5955624527792827 Mtonnes encore à gagner
2.595505073754138 Mtonnes encore à gagner
2.594823131471993 Mtonnes encore à gagner
2.5923132299645353 Mtonnes encore à gagner
2.5923132299645353 Mtonnes encore à gagner
2.5923132299645353 Mtonnes encore à gagner
2.5923132299645353 Mtonnes encore à gagner
2.5923132299645353 Mtonnes encore à gagner
2.59120132015586 Mtonnes encore à gagner
2.582880971728769 Mtonnes encore à gagner
2.5810421934504735 Mtonnes encore à gagner
2.5808760874697514 Mtonnes encore à gagner
2.5806035044515907 Mtonnes encore à gagner
2.580488197975427 Mtonnes encore à gagner
2.580405628825437 Mtonnes encore à gagner
2.580405628825437 Mtonnes encore à gagner
2.580405628825437 Mtonnes encore à gagner
