ANNEE,MARQUE,MODELE,NB_CYL,CYLINDREE,EMISSION
2007,SATUR,ION,4,2394,214
2007,SATUR,OUTLO,6,3608,292
2007,SATUR,VUE,6,3509,274
2007,SUBAR,FORES,4,2460,252
2007,SUBAR,IMPRE,4,2460,"256,857142857143"
2007,SUBAR,LEGAC,4,2460,"258,666666666667"
2007,SUBAR,LEGAC,6,3001,"258,666666666667"
2007,SUZUK,AERIO,4,2296,222
2007,SUZUK,GRAND,6,2706,"295,5"
2007,SUZUK,SWIFT,4,1607,"205,5"
2007,SUZUK,SX4,4,2001,"223,5"
2007,SUZUK,XL7,6,3608,299
2007,TOYOT,CAMRY,4,2394,203
2007,TOYOT,CAMRY,6,3509,239
2007,TOYOT,COROL,4,1787,177
2007,TOYOT,FJCRU,6,4001,"327,5"
2007,TOYOT,HIGHL,6,3296,252
2007,TOYOT,MATRI,4,1787,"195,5"
2007,TOYOT,MATRI,4,1800,"195,5"
2007,TOYOT,PRIUS,4,1492,117
2007,TOYOT,RAV4,4,2361,242
2007,TOYOT,RAV4,6,3500,253
2007,TOYOT,RAV4,6,3509,253
2007,TOYOT,SIENN,6,3509,"285,5"
2007,TOYOT,TACOM,4,2689,"248,5"
2007,TOYOT,TACOM,6,4000,"316,75"
2007,TOYOT,TACOM,6,4001,"316,75"
2007,TOYOT,TC,4,2394,"194,585993793994"
2007,TOYOT,TUNDR,8,4707,"363,5"
2007,TOYOT,TUNDR,8,5707,"363,5"
2007,TOYOT,YARIS,4,1500,"171,5"
2007,TOYOT,YARIS,4,1509,"171,5"
2007,VOLKS,EOS,4,2001,231
2007,VOLKS,GOLF,4,1984,"237,831351806778"
2007,VOLKS,GTI,4,1984,"225,5"
2007,VOLKS,JETTA,4,1984,"225,5"
2007,VOLKS,JETTA,5,2476,244
2007,VOLKS,JETTA,5,2500,244
2007,VOLKS,NEWBE,4,2476,"239,25"
2007,VOLKS,NEWBE,5,2476,"239,25"
2007,VOLKS,PASSA,4,1984,"233,5"
2007,VOLKS,PASSA,6,3591,277
2007,VOLKS,RABBI,5,2476,"240,5"
2007,VOLKS,TOUAR,8,4182,380
2007,VOLVO,C70,5,2525,"255,5"
2007,VOLVO,S40,5,2443,"242,5"
2007,VOLVO,S60,5,2525,"268,666666666667"
2007,VOLVO,XC70,5,2525,290
2007,VOLVO,XC90,8,4411,321
2008,ACURA,CSX,4,2001,218
2008,ACURA,MDX,6,3700,317
2008,ACURA,MDX,6,3706,317
2008,ACURA,RDX,4,2296,292
2008,ACURA,TL,6,3198,258
2008,ACURA,TL,6,3509,263
2008,ACURA,TSX,4,2394,"240,5"
2008,AUDI,A4,4,1984,"235,125"
2008,AUDI,S5,8,4165,"308,5"
2008,AUDI,TT,4,1984,215
2008,AUDI,TT,6,3198,"273,5"
2008,BMW,128,6,3001,"247,25"
2008,BMW,135,6,3001,"265,5"
2008,BMW,323,6,2493,244
2008,BMW,328,6,3001,259
2008,BMW,335,6,3001,"269,7"
2008,BMW,528,6,3001,"258,25"
2008,BMW,535,6,3001,"276,5"
2008,BMW,X3,6,3001,"280,5"
2008,BMW,X5,6,3001,306
2008,BMW,X6,6,3001,324
2008,BMW,Z4,6,3001,246
2008,BUICK,ALLUR,6,3800,260
2008,BUICK,ALLUR,6,3805,260
2008,BUICK,ENCLA,6,3608,292
2008,BUICK,LUCER,6,3805,260
2008,CADIL,CTS,6,3608,"276,5"
2008,CADIL,ESCAL,8,6199,380
2008,CADIL,STS,8,4608,315
2008,CHEVR,AVEO,4,1607,"202,5"
2008,CHEVR,COBAL,4,2197,"212,75"
2008,CHEVR,COBAL,4,2394,"209,5"
2008,CHEVR,COLOR,4,2903,"279,166666666667"
2008,CHEVR,COLOR,5,3706,"323,666666666667"
2008,CHEVR,EQUIN,6,3395,285
2008,CHEVR,EQUIN,6,3608,285
2008,CHEVR,EXPRE,8,4805,"366,444444444444"
2008,CHEVR,EXPRE,8,5297,"366,444444444444"
2008,CHEVR,EXPRE,8,6002,"366,444444444444"
2008,CHEVR,HHR,4,2197,229
2008,CHEVR,IMPAL,6,3509,"241,666666666667"
2008,CHEVR,MALIB,4,2394,211
2008,CHEVR,MALIB,6,3608,269
2008,CHEVR,SILVE,8,4805,"343,5"
2008,CHEVR,SILVE,8,5297,322
2008,CHEVR,SILVE,8,6002,"372,5"
2008,CHEVR,SILVE,8,6609,"372,5"
2008,CHEVR,TAHOE,8,5297,"322,4"
2008,CHEVR,TRAIL,6,4198,338
2008,CHEVR,UPLAN,6,3903,"283,333333333333"
2008,CHRYS,300,6,3509,290
2008,CHRYS,300C,8,5707,"300,5"
2008,CHRYS,PACIF,6,3805,306
2008,CHRYS,PTCRU,4,2427,"246,5"
2008,CHRYS,SEBRI,6,2700,"245,5"
2008,CHRYS,SEBRI,6,2706,"245,5"
2008,CHRYS,SEBRI,6,3509,285
2008,CHRYS,TOWN,6,3805,294
2008,CHRYS,TOWN,6,4001,294
2008,DODGE,AVENG,4,2361,221
2008,DODGE,AVENG,6,2706,"240,5"
2008,DODGE,CALIB,4,1804,207
2008,DODGE,CALIB,4,2000,221
2008,DODGE,CALIB,4,2001,221
2008,DODGE,CHARG,6,2706,255
2008,DODGE,CHARG,6,3509,"285,333333333333"
2008,DODGE,CHARG,8,5707,"300,5"
2008,DODGE,CHARG,8,6100,363
2008,DODGE,DAKOT,6,3690,"330,25"
2008,DODGE,DAKOT,8,4707,"338,25"
2008,DODGE,DURAN,8,4707,339
2008,DODGE,DURAN,8,5707,363
2008,DODGE,GRAND,6,3296,272
2008,DODGE,GRAND,6,3300,272
2008,DODGE,GRAND,6,3805,294
2008,DODGE,NITRO,6,3690,"301,25"
2008,DODGE,RAM,6,6691,"325,5"
2008,DODGE,RAM,8,4707,"364,333333333333"
2008,DODGE,RAM,8,5707,"369,5"
2008,DODGE,SPRIN,6,3001,"287,286533207938"
2008,FORD,CROWN,8,4608,"295,5"
2008,FORD,ECONO,8,5412,"286,283999017702"
2008,FORD,EDGE,6,3509,"295,5"
2008,FORD,ESCAP,4,2296,"215,75"
2008,FORD,ESCAP,6,3001,276
2008,FORD,F150,3,5395,"334,5"
2008,FORD,F150,8,4608,360
2008,FORD,F150,8,5395,"367,666666666667"
2008,FORD,F250,8,5395,"286,283999017702"
2008,FORD,F250,8,6396,"286,283999017702"
2008,FORD,F350,,6806,"286,283999017702"
2008,FORD,F350,8,5395,"286,283999017702"
2008,FORD,F350,8,6396,"286,283999017702"
2008,FORD,F350,9,6806,"286,283999017702"
2008,FORD,FOCUS,4,2001,196
2008,FORD,FUSIO,4,2296,231
2008,FORD,FUSIO,6,3001,269
2008,FORD,MUSTA,6,4001,277
2008,FORD,MUSTA,8,4608,"303,5"
2008,FORD,RANGE,4,2296,"248,5"
2008,FORD,RANGE,6,3001,"321,75"
2008,FORD,RANGE,6,4001,"335,25"
2008,FORD,TAURU,6,3509,"281,75"
2008,GMC,ACADI,6,3608,292
2008,GMC,CANYO,5,3706,"322,5"
2008,GMC,ENVOY,8,5297,"332,5"
2008,GMC,SAVAN,8,4805,"366,444444444444"
2008,GMC,SIERR,8,4805,"343,5"
2008,GMC,SIERR,8,5297,322
2008,GMC,SIERR,8,5300,322
2008,GMC,SIERR,8,6609,380
2008,HONDA,ACCOR,4,2394,"219,5"
2008,HONDA,ACCOR,6,3500,"251,666666666667"
2008,HONDA,ACCOR,6,3509,"251,666666666667"
2008,HONDA,CIVIC,,1804,184
2008,HONDA,CIVIC,4,1800,184
2008,HONDA,CIVIC,4,1804,184
2008,HONDA,CIVIC,4,2001,230
2008,HONDA,CR-V,4,2394,"242,5"
2008,HONDA,ELEME,4,2394,"262,25"
2008,HONDA,FIT,4,1492,"183,333333333333"
2008,HONDA,ODYSS,6,3509,"281,5"
2008,HONDA,PILOT,6,3493,307
2008,HONDA,RIDGE,6,3493,327
2008,HUMME,H2,8,6199,"371,016260162602"
2008,HUMME,H3,5,3706,367
2008,HUMME,H3,8,5297,386
2008,HYUND,ACCEN,4,1607,192
2008,HYUND,ELANT,4,1984,"195,5"
2008,HYUND,SANTA,6,2657,"269,5"
2008,HYUND,SANTA,6,3345,"279,5"
2008,HYUND,SONAT,4,2361,"219,5"
2008,HYUND,SONAT,6,3345,246
2008,HYUND,TIBUR,4,1984,"238,5"
2008,HYUND,TUCSO,4,2001,"248,5"
2008,HYUND,TUCSO,6,2657,277
2008,INFIN,FX35,6,3509,324
2008,INFIN,G35,6,3509,"276,666666666667"
2008,INFIN,QX56,8,5608,398
2008,JEEP,COMPA,4,2001,221
2008,JEEP,COMPA,4,2361,"230,5"
2008,JEEP,COMPA,4,2400,"230,5"
2008,JEEP,GRAND,6,3001,329
2008,JEEP,GRAND,6,3706,320
2008,JEEP,LIBER,6,3700,308
2008,JEEP,LIBER,6,3706,308
2008,JEEP,PATRI,4,2001,221
2008,JEEP,PATRI,4,2361,"237,8"
2008,JEEP,WRANG,6,3772,"327,5"
2008,KIA,OPTIM,4,2394,"236,033273877778"
2008,KIA,OPTIM,6,2706,"236,033273877778"
2008,KIA,RIO,4,1600,"187,5"
2008,KIA,RIO,4,1607,"187,5"
2008,KIA,RONDO,4,2361,251
2008,KIA,RONDO,6,2700,260
2008,KIA,RONDO,6,2706,260
2008,KIA,SEDON,6,3805,294
2008,KIA,SOREN,6,3296,306
2008,KIA,SPECT,4,2001,"205,5"
2008,KIA,SPORT,4,2000,"251,666666666667"
2008,KIA,SPORT,4,2001,"251,666666666667"
2008,KIA,SPORT,6,2706,284
2008,LAMBO,GALLA,,4969,"436,5"
2008,LANDR,LR2,6,3198,297
2008,LANDR,RANGE,8,4198,386
2008,LEXUS,ES,6,3509,244
2008,LEXUS,GS,6,3509,"244,666666666667"
2008,LEXUS,IS,6,2493,"242,333333333333"
2008,LEXUS,RX,6,3313,219
2008,LEXUS,RX,6,3460,252
2008,LEXUS,RX,6,3509,285
2008,LINCO,MARK,8,5395,384
2008,LINCO,MKX,6,3509,"295,5"
2008,MAZDA,3,4,2000,205
2008,MAZDA,3,4,2001,205
2008,MAZDA,3,4,2296,"218,5"
2008,MAZDA,5,4,2296,"228,5"
2008,MAZDA,6,4,2296,230
2008,MAZDA,6,6,3001,"270,5"
2008,MAZDA,B2300,4,2296,"248,5"
2008,MAZDA,B3000,6,3001,314
2008,MAZDA,B4000,6,4001,"339,666666666667"
2008,MAZDA,CX-7,4,2296,"287,5"
2008,MAZDA,CX-9,6,3706,306
2008,MAZDA,MX-5,4,2001,233
2008,MAZDA,SPEED,4,2296,262
2008,MAZDA,TRIBU,4,2296,"242,333333333333"
2008,MAZDA,TRIBU,6,3001,"278,5"
2008,MERCE,B200,4,2001,"224,75"
2008,MERCE,C,6,2493,"261,666666666667"
2008,MERCE,C,6,3001,"268,083333333333"
2008,MERCE,E,6,2985,263
2008,MERCE,E,6,3493,298
2008,MERCE,ML,6,3001,308
2008,MERCE,ML,6,3493,324
2008,MERCE,S,8,4657,317
2008,MERCE,SLK,6,3493,283
2008,MINI,COOPE,4,1607,"197,083333333333"
2008,MITSU,ECLIP,4,2378,"244,5"
2008,MITSU,ECLIP,6,3837,"280,5"
2008,MITSU,ENDEA,6,3837,"316,5"
2008,MITSU,LANCE,4,2001,"249,6"
2008,MITSU,OUTLA,4,2394,246
2008,MITSU,OUTLA,6,3001,278
2008,NISSA,ALTIM,4,2509,"196,6"
2008,NISSA,ALTIM,6,3509,"248,5"
2008,NISSA,FRONT,6,4001,"325,5"
2008,NISSA,MAXIM,6,3509,255
2008,NISSA,PATHF,6,4001,338
2008,NISSA,QUEST,6,3509,285
2008,NISSA,ROGUE,4,2509,"226,5"
2008,NISSA,SENTR,4,2001,"196,5"
2008,NISSA,VERSA,4,1800,"192,333333333333"
2008,NISSA,VERSA,4,1804,"192,333333333333"
2008,NISSA,VERSA,6,1804,"192,333333333333"
2008,NISSA,XTERR,6,4001,323
2008,PONTI,G5,4,2197,"209,5"
2008,PONTI,G6,4,2394,219
2008,PONTI,G6,6,3509,"263,666666666667"
2008,PONTI,G6,6,3903,304
2008,PONTI,GRAND,4,3805,255
2008,PONTI,GRAND,6,3805,255
2008,PONTI,MONTA,6,3903,"283,333333333333"
2008,PONTI,SOLST,4,2001,"247,5"
2008,PONTI,TORRE,6,3395,285
2008,PONTI,TORRE,6,3608,285
2008,PONTI,VIBE,4,1804,"193,5"
2008,PONTI,WAVE,4,1600,"202,5"
2008,PONTI,WAVE,4,1607,"202,5"
2008,PORSC,911,6,3608,"299,333333333333"
2008,PORSC,BOXST,6,2706,241
2008,PORSC,BOXST,6,3395,262
2008,PORSC,CAYEN,6,3608,"331,5"
2008,PORSC,CAYEN,8,4805,"369,5"
2008,SAAB,9-3,6,2804,"293,5"
2008,SAAB,9-5,4,2296,262
2008,SATUR,ASTRA,4,1800,"202,5"
2008,SATUR,ASTRA,4,1804,"202,5"
2008,SATUR,AURA,6,3608,269
2008,SATUR,OUTLO,6,3608,292
2008,SATUR,VUE,4,2394,"223,5"
2008,SATUR,VUE,6,3509,297
2008,SATUR,VUE,6,3608,"290,25"
2008,SMART,FORTW,3,1000,150
2008,SUBAR,FORES,4,2460,"250,833333333333"
2008,SUBAR,IMPRE,4,2460,"254,2"
2008,SUBAR,LEGAC,4,2460,"251,538461538462"
2008,SUBAR,OUTBA,4,2460,254
2008,SUBAR,OUTBA,6,3001,274
2008,SUZUK,GRAND,6,2706,"295,5"
2008,SUZUK,SWIFT,4,1607,"202,5"
2008,SUZUK,SX4,4,2001,"218,6"
2008,SUZUK,XL7,6,3608,300
2008,TOYOT,AVALO,6,3509,239
2008,TOYOT,CAMRY,4,2394,"196,333333333333"
2008,TOYOT,CAMRY,6,3509,239
2008,TOYOT,COROL,4,1800,"186,25"
2008,TOYOT,COROL,4,1804,"186,25"
2008,TOYOT,FJCRU,6,4001,"328,5"
2008,TOYOT,HIGHL,6,3296,207
2008,TOYOT,HIGHL,6,3509,283
2008,TOYOT,MATRI,4,1804,"199,879485272236"
2008,TOYOT,PRIUS,4,1492,117
2008,TOYOT,RAV4,4,2361,239
2008,TOYOT,RAV4,6,3509,253
2008,TOYOT,SCION,4,2394,"199,879485272236"
2008,TOYOT,SIENN,6,3509,"285,5"
2008,TOYOT,SOLAR,6,3296,"199,879485272236"
2008,TOYOT,TACOM,4,2689,"248,5"
2008,TOYOT,TACOM,6,4001,"321,333333333333"
2008,TOYOT,TUNDR,8,4707,368
2008,TOYOT,TUNDR,8,5707,"363,5"
2008,TOYOT,YARIS,4,1492,173
2008,TOYOT,YARIS,4,1500,173
2008,VOLKS,EOS,4,2001,"225,5"
2008,VOLKS,GOLF,4,1984,"236,527942925089"
2008,VOLKS,GOLF,4,2000,"236,527942925089"
2008,VOLKS,GTI,4,1984,"225,5"
2008,VOLKS,JETTA,4,1984,"225,5"
2008,VOLKS,JETTA,4,2000,"225,5"
2008,VOLKS,JETTA,5,2476,239
2008,VOLKS,JETTA,5,2500,239
2008,VOLKS,NEWBE,5,2476,"235,25"
2008,VOLKS,PASSA,4,1984,"234,25"
2008,VOLKS,R32,6,3198,"236,527942925089"
2008,VOLKS,RABBI,5,2476,239
2008,VOLKS,RABBI,5,2500,239
2008,VOLVO,C30,5,2443,237
2008,VOLVO,C30,5,2525,"243,5"
2008,VOLVO,S40,5,2443,237
2008,VOLVO,S60,5,2525,"255,25"
2008,VOLVO,V50,5,2443,237
2008,VOLVO,V70,6,3198,290
2008,VOLVO,XC70,6,3198,315
2008,VOLVO,XC90,6,3198,"333,5"
2009,ACURA,CSX,4,2001,218
2009,ACURA,MDX,6,3706,317
2009,ACURA,RDX,4,2296,292
2009,ACURA,TL,6,3509,258
2009,ACURA,TSX,4,2394,228
2009,AUDI,A3,4,1984,"227,666666666667"
2009,AUDI,A4,4,1984,"230,75"
2009,AUDI,A4,6,3198,274
2009,AUDI,A5,6,3198,"271,5"
2009,AUDI,A8,8,4165,294
2009,AUDI,Q5,6,3198,"247,115301724139"
2009,AUDI,Q7,4,3591,334
2009,AUDI,S8,,5215,363
2009,BMW,128,6,3001,"248,75"
2009,BMW,135,6,3001,"265,75"
2009,BMW,323,6,2493,244
2009,BMW,328,6,3000,259
2009,BMW,328,6,3001,259
2009,BMW,335,6,3001,265
2009,BMW,X3,6,3001,277
2009,BMW,X5,6,3000,"297,5"
2009,BMW,X5,6,3001,"297,5"
2009,BUICK,ALLUR,6,3805,260
2009,BUICK,ENCLA,6,3608,291
2009,BUICK,LUCER,6,3903,"253,5"
2009,CADIL,CTS,6,3608,"271,666666666667"
2009,CADIL,DTS,8,4608,301
2009,CHEVR,AVALA,8,5297,"324,666666666667"
2009,CHEVR,AVEO,4,1600,"188,5"
2009,CHEVR,AVEO,4,1607,"188,5"
2009,CHEVR,COBAL,4,2001,219
2009,CHEVR,COBAL,4,2197,"206,166666666667"
2009,CHEVR,COLOR,4,2903,270
2009,CHEVR,EQUIN,6,3395,276
2009,CHEVR,HHR,4,2197,"220,25"
2009,CHEVR,IMPAL,6,3509,"229,5"
2009,CHEVR,MALIB,4,2394,"205,666666666667"
2009,CHEVR,MALIB,6,3608,269
2009,CHEVR,SILVE,6,4297,"334,5"
2009,CHEVR,SILVE,8,4805,344
2009,CHEVR,SILVE,8,5297,"320,928571428571"
2009,CHEVR,SILVE,8,5300,"320,928571428571"
2009,CHEVR,SILVE,8,6002,"301,25"
2009,CHEVR,SILVE,8,6609,"356,5"
2009,CHEVR,TRAVE,6,3608,"288,5"
2009,CHEVR,UPLAN,6,3900,290
2009,CHEVR,UPLAN,6,3903,290
2009,CHRYS,300,6,3509,"279,5"
2009,CHRYS,300C,8,5707,"293,5"
2009,CHRYS,PTCRU,4,2427,"246,5"
2009,CHRYS,SEBRI,4,2394,"226,5"
2009,CHRYS,SEBRI,6,2706,"245,5"
2009,CHRYS,TOWN,6,4001,271
2009,DODGE,AVENG,4,2394,221
2009,DODGE,CALIB,4,2001,221
2009,DODGE,CALIB,4,2394,246
2009,DODGE,CHALL,6,3509,274
2009,DODGE,CHARG,6,3509,"279,5"
2009,DODGE,DAKOT,6,3690,"330,25"
2009,DODGE,DURAN,8,4707,339
2009,DODGE,GRAND,6,3296,"274,5"
2009,DODGE,GRAND,6,4001,271
2009,DODGE,JOURN,4,2394,255
2009,DODGE,JOURN,6,3509,"302,5"
2009,DODGE,NITRO,6,3690,307
2009,DODGE,RAM,,5707,"349,5"
2009,DODGE,RAM,6,6707,331
2009,DODGE,RAM,8,5707,"349,5"
2009,FORD,CROWN,8,4608,284
2009,FORD,EDGE,6,3509,"294,5"
2009,FORD,ESCAP,4,2509,215
2009,FORD,ESCAP,4,3001,215
2009,FORD,ESCAP,6,3001,267
2009,FORD,F150,4,4608,332
2009,FORD,F150,8,4608,332
2009,FORD,F150,8,5395,"340,75"
2009,FORD,F250,8,5395,"274,204495028781"
2009,FORD,F250,8,6396,"274,204495028781"
2009,FORD,F350,8,6396,"274,204495028781"
2009,FORD,FLEX,6,3509,"294,5"
2009,FORD,FOCUS,4,2000,197
2009,FORD,FOCUS,4,2001,197
2009,FORD,FUSIO,4,2296,231
2009,FORD,MUSTA,6,4001,281
2009,FORD,RANGE,4,2296,244
2009,FORD,RANGE,6,4000,"326,5"
2009,FORD,RANGE,6,4001,"326,5"
2009,FORD,TAURU,6,3509,"281,75"
2009,GMC,ACADI,6,3608,"288,5"
2009,GMC,CANYO,4,2903,270
2009,GMC,ENVOY,6,4198,338
2009,GMC,SIERR,8,4805,344
2009,GMC,SIERR,8,5297,"320,928571428571"
2009,GMC,SIERR,8,6002,"301,25"
2009,GMC,SIERR,8,6199,"329,791666666667"
2009,HONDA,ACCOR,4,2394,"219,5"
2009,HONDA,ACCOR,4,2400,"219,5"
2009,HONDA,ACCOR,6,3509,"251,666666666667"
2009,HONDA,CIVIC,4,1296,127
2009,HONDA,CIVIC,4,1800,184
2009,HONDA,CIVIC,4,1804,184
2009,HONDA,CIVIC,4,2001,230
2009,HONDA,CIVIC,5,1804,184
2009,HONDA,CR-V,4,2394,"242,5"
2009,HONDA,ELEME,4,2394,"255,5"
2009,HONDA,FIT,4,1492,175
2009,HONDA,ODYSS,6,3500,"281,5"
2009,HONDA,ODYSS,6,3509,"281,5"
2009,HONDA,PILOT,6,3493,"292,5"
2009,HONDA,RIDGE,4,3493,320
2009,HONDA,RIDGE,6,3493,320
2009,HYUND,ACCEN,,1607,185
2009,HYUND,ACCEN,4,1600,185
2009,HYUND,ACCEN,4,1607,185
2009,HYUND,ELANT,4,1984,"201,75"
2009,HYUND,ELANT,4,2000,"201,75"
2009,HYUND,SANTA,4,3345,"279,5"
2009,HYUND,SANTA,6,2657,"269,5"
2009,HYUND,SANTA,6,3300,"279,5"
2009,HYUND,SANTA,6,3345,"279,5"
2009,HYUND,SONAT,4,2361,215
2009,HYUND,SONAT,6,3345,239
2009,HYUND,TUCSO,4,2001,244
2009,HYUND,TUCSO,6,2657,"269,5"
2009,HYUND,VERAC,6,3772,"301,5"
2009,INFIN,EX35,6,3509,288
2009,INFIN,FX35,6,3509,301
2009,INFIN,G37,6,3700,"264,666666666667"
2009,JEEP,COMPA,4,2394,230
2009,JEEP,GRAND,6,3690,320
2009,JEEP,GRAND,8,4707,339
2009,JEEP,LIBER,6,3690,315
2009,JEEP,PATRI,4,2394,"237,4"
2009,JEEP,WRANG,6,3772,330
2009,KIA,BORRE,8,4592,322
2009,KIA,OPTIM,4,2394,"230,185332336169"
2009,KIA,RIO,4,1600,183
2009,KIA,RIO,4,1607,183
2009,KIA,RONDO,4,2361,244
2009,KIA,RONDO,4,2400,244
2009,KIA,RONDO,6,2706,260
2009,KIA,SEDON,6,3772,294
2009,KIA,SOREN,6,3296,311
2009,KIA,SPECT,4,2001,"205,5"
2009,KIA,SPORT,4,2000,"248,666666666667"
2009,KIA,SPORT,4,2001,"248,666666666667"
2009,KIA,SPORT,6,2706,"269,5"
2009,LANDR,LR2,6,3198,311
2009,LANDR,RANGE,8,4395,381
2009,LEXUS,ES,6,3460,244
2009,LEXUS,ES,6,3500,244
2009,LEXUS,ES,6,3509,244
2009,LEXUS,IS,6,2493,"241,333333333333"
2009,LEXUS,RX,6,3500,285
2009,LEXUS,RX,6,3509,285
2009,LINCO,MKS,6,3706,"285,5"
2009,LINCO,NAVIG,8,5395,"288,561011904762"
2009,MAZDA,3,4,2001,205
2009,MAZDA,3,4,2296,"218,5"
2009,MAZDA,5,4,2296,"228,5"
2009,MAZDA,6,4,2493,229
2009,MAZDA,6,6,3706,271
2009,MAZDA,B2300,4,2296,244
2009,MAZDA,B4000,6,4001,"326,5"
2009,MAZDA,SPEED,4,2296,262
2009,MAZDA,SPEED,4,2300,262
2009,MAZDA,TRIBU,4,2493,237
2009,MAZDA,TRIBU,4,3001,237
2009,MAZDA,TRIBU,6,3001,267
2009,MERCE,B200,4,2001,"224,75"
2009,MERCE,C,,3001,"268,083333333333"
2009,MERCE,C,6,2493,"261,666666666667"
2009,MERCE,C,6,3001,"268,083333333333"
2009,MERCE,C,8,6199,368
2009,MERCE,CLK,6,3493,271
2009,MERCE,E,6,3493,298
2009,MERCE,GL,6,3001,332
2009,MERCE,ML,6,3001,316
2009,MERCE,ML,6,3493,324
2009,MINI,COOPE,4,1607,186
2009,MITSU,ECLIP,4,2378,"244,5"
2009,MITSU,GALAN,6,3837,"279,5"
2009,MITSU,LANCE,4,2000,261
2009,MITSU,LANCE,4,2001,261
2009,MITSU,LANCE,4,2378,236
2009,MITSU,OUTLA,4,2394,"248,5"
2009,MITSU,OUTLA,6,3001,271
2009,NISSA,370Z,6,3706,"257,5"
2009,NISSA,ALTIM,4,2500,"196,6"
2009,NISSA,ALTIM,4,2509,"196,6"
2009,NISSA,ALTIM,6,3509,"250,5"
2009,NISSA,ARMAD,8,5608,380
2009,NISSA,CUBE,4,1804,"207,691389251059"
2009,NISSA,FRONT,6,4001,"321,25"
2009,NISSA,MAXIM,6,3509,248
2009,NISSA,MURAN,6,3500,274
2009,NISSA,MURAN,6,3509,274
2009,NISSA,PATHF,6,4001,334
2009,NISSA,ROGUE,4,2509,"225,5"
2009,NISSA,SENTR,4,2001,"196,5"
2009,NISSA,SENTR,4,2509,216
2009,NISSA,TITAN,8,5608,382
2009,NISSA,VERSA,4,1607,"192,333333333333"
2009,NISSA,VERSA,4,1800,"192,333333333333"
2009,NISSA,VERSA,4,1804,"192,333333333333"
2009,PONTI,G3,4,1607,"188,5"
2009,PONTI,G5,4,2197,"193,333333333333"
2009,PONTI,G6,4,2394,214
2009,PONTI,G6,6,3509,"248,428571428571"
2009,PONTI,G6,6,3903,304
2009,PONTI,G8,6,3608,271
2009,PONTI,MONTA,6,3903,290
2009,PONTI,TORRE,6,3395,276
2009,PONTI,VIBE,4,1800,192
2009,PONTI,VIBE,4,1804,192
2009,PONTI,VIBE,4,2394,230
2009,SATUR,ASTRA,4,1804,"202,5"
2009,SATUR,AURA,6,3608,269
2009,SATUR,VUE,4,2394,222
2009,SATUR,VUE,6,3509,294
2009,SATUR,VUE,6,3608,"289,25"
2009,SMART,FORTW,3,1000,150
2009,SUBAR,FORES,4,2460,"248,666666666667"
2009,SUBAR,IMPRE,3,2460,"253,285714285714"
2009,SUBAR,IMPRE,4,2460,"253,285714285714"
2009,SUBAR,LEGAC,4,2460,"250,4"
2009,SUBAR,LEGAC,6,3001,274
2009,SUBAR,OUTBA,6,3001,274
2009,SUBAR,TRIBE,6,3608,301
2009,SUZUK,EQUAT,6,4001,322
2009,SUZUK,GRAND,4,2394,"262,5"
2009,SUZUK,GRAND,6,3198,283
2009,SUZUK,SWIFT,4,1607,"188,5"
2009,SUZUK,SX4,4,2001,"218,333333333333"
2009,TOYOT,CAMRY,4,2361,"196,333333333333"
2009,TOYOT,CAMRY,4,2394,"196,333333333333"
2009,TOYOT,CAMRY,4,2400,"196,333333333333"
2009,TOYOT,CAMRY,6,3509,239
2009,TOYOT,COROL,4,1804,"186,25"
2009,TOYOT,COROL,4,2361,"226,2"
2009,TOYOT,HIGHL,6,3296,207
2009,TOYOT,HIGHL,6,3509,283
2009,TOYOT,MATRI,4,1804,"198,21771709722"
2009,TOYOT,MATRI,4,2361,"198,21771709722"
2009,TOYOT,PRIUS,4,1492,117
2009,TOYOT,RAV4,4,2509,228
2009,TOYOT,RAV4,6,3509,253
2009,TOYOT,SIENN,6,3509,"285,5"
2009,TOYOT,TACOM,4,2689,"261,333333333333"
2009,TOYOT,TACOM,6,4001,"321,333333333333"
2009,TOYOT,TUNDR,8,5707,361
2009,TOYOT,VENZA,4,2689,"256,5"
2009,TOYOT,VENZA,6,3509,"256,5"
2009,TOYOT,YARIS,4,1492,"172,5"
2009,TOYOT,YARIS,4,1500,"172,5"
2009,VOLKS,CC,6,3591,"235,940811965815"
2009,VOLKS,EOS,4,1984,"219,5"
2009,VOLKS,GOLF,4,1984,"235,940811965815"
2009,VOLKS,GOLF,4,2000,"235,940811965815"
2009,VOLKS,GTI,4,1984,"219,5"
2009,VOLKS,JETTA,4,1968,"204,5"
2009,VOLKS,JETTA,4,1984,"204,5"
2009,VOLKS,JETTA,4,2000,"204,5"
2009,VOLKS,JETTA,5,2476,239
2009,VOLKS,NEWBE,5,2476,"235,25"
2009,VOLKS,PASSA,4,1984,"234,166666666667"
2009,VOLKS,RABBI,5,2476,239
2009,VOLKS,ROUTA,6,4001,271
2009,VOLKS,TIGUA,4,1984,"260,666666666667"
2009,VOLVO,C30,5,2443,239
2009,VOLVO,C70,5,2525,254
2009,VOLVO,S40,5,2443,239
2009,VOLVO,V50,5,2525,"251,75"
2009,VOLVO,V70,6,3198,276
2009,VOLVO,XC70,6,3001,301
2009,VOLVO,XC70,6,3198,301
2009,VOLVO,XC90,6,3198,329
2010,ACURA,CSX,4,2001,218
2010,ACURA,MDX,6,3706,304
