import des bases...
importé

filtrage ADs dans base vehicules...
fin

emissions totales : 5.7943834738683035 Mtonnes de CO2

on part de 5.7943834738683035 et on veut 2.31 (diminution de 60.13380870600449%)

3.4843834738683035 Mtonnes encore à gagner
3.4843834738683035 Mtonnes encore à gagner
3.4843834738683035 Mtonnes encore à gagner
3.4843834738683035 Mtonnes encore à gagner
3.484136934948411 Mtonnes encore à gagner
3.484136934948411 Mtonnes encore à gagner
3.484136934948411 Mtonnes encore à gagner
3.4840110344696478 Mtonnes encore à gagner
3.4840110344696478 Mtonnes encore à gagner
3.483772983842027 Mtonnes encore à gagner
3.483772983842027 Mtonnes encore à gagner
3.483772983842027 Mtonnes encore à gagner
3.483772983842027 Mtonnes encore à gagner
3.481804286024158 Mtonnes encore à gagner
3.4817025899194047 Mtonnes encore à gagner
3.4812053600721815 Mtonnes encore à gagner
3.4802140411904783 Mtonnes encore à gagner
3.4802140411904783 Mtonnes encore à gagner
3.4802140411904783 Mtonnes encore à gagner
3.4802140411904783 Mtonnes encore à gagner
3.4802140411904783 Mtonnes encore à gagner
3.4802140411904783 Mtonnes encore à gagner
3.4802140411904783 Mtonnes encore à gagner
3.4802140411904783 Mtonnes encore à gagner
3.4802140411904783 Mtonnes encore à gagner
3.479950936630011 Mtonnes encore à gagner
3.479950936630011 Mtonnes encore à gagner
3.4742134044695328 Mtonnes encore à gagner
3.4742134044695328 Mtonnes encore à gagner
3.4742134044695328 Mtonnes encore à gagner
3.4742134044695328 Mtonnes encore à gagner
3.4740803052397218 Mtonnes encore à gagner
3.4715864944524495 Mtonnes encore à gagner
3.471403800619154 Mtonnes encore à gagner
3.4710538528089 Mtonnes encore à gagner
3.4681229802414477 Mtonnes encore à gagner
3.4681229802414477 Mtonnes encore à gagner
3.4673069302737516 Mtonnes encore à gagner
3.4673069302737516 Mtonnes encore à gagner
3.4673069302737516 Mtonnes encore à gagner
3.4673069302737516 Mtonnes encore à gagner
3.4636725110864472 Mtonnes encore à gagner
3.463545680208633 Mtonnes encore à gagner
3.4634702711642347 Mtonnes encore à gagner
3.4631210229616713 Mtonnes encore à gagner
3.4631210229616713 Mtonnes encore à gagner
3.463095287640543 Mtonnes encore à gagner
3.463095287640543 Mtonnes encore à gagner
3.4626311514020602 Mtonnes encore à gagner
3.4626311514020602 Mtonnes encore à gagner
3.4626311514020602 Mtonnes encore à gagner
3.4625647687703514 Mtonnes encore à gagner
3.4625647687703514 Mtonnes encore à gagner
3.4625647687703514 Mtonnes encore à gagner
3.4623617844864794 Mtonnes encore à gagner
3.46218639035489 Mtonnes encore à gagner
3.46218639035489 Mtonnes encore à gagner
3.4598635957959147 Mtonnes encore à gagner
3.4598635957959147 Mtonnes encore à gagner
3.451453522375536 Mtonnes encore à gagner
3.4444535873888795 Mtonnes encore à gagner
3.4444535873888795 Mtonnes encore à gagner
3.444297364107682 Mtonnes encore à gagner
3.4439393569630927 Mtonnes encore à gagner
3.441351647654319 Mtonnes encore à gagner
3.441351647654319 Mtonnes encore à gagner
3.4411971559892884 Mtonnes encore à gagner
3.44112108607396 Mtonnes encore à gagner
3.440218356866724 Mtonnes encore à gagner
3.4369060770913955 Mtonnes encore à gagner
3.4369060770913955 Mtonnes encore à gagner
3.4369060770913955 Mtonnes encore à gagner
3.4369060770913955 Mtonnes encore à gagner
3.4369060770913955 Mtonnes encore à gagner
3.435434173256738 Mtonnes encore à gagner
3.42443494032208 Mtonnes encore à gagner
3.4220008357051506 Mtonnes encore à gagner
3.42178062164858 Mtonnes encore à gagner
3.421419246266907 Mtonnes encore à gagner
3.4212663793637748 Mtonnes encore à gagner
3.421156913784101 Mtonnes encore à gagner
3.421156913784101 Mtonnes encore à gagner
3.421156913784101 Mtonnes encore à gagner
