import des bases...
importé

filtrage ADs dans base vehicules...
fin

emissions totales : 5.792215207805185 Mtonnes de CO2

on part de 5.792215207805185 et on veut 2.31 (diminution de 60.11888513936421%)

3.324896784269115 Mtonnes encore à gagner
3.3248826783465115 Mtonnes encore à gagner
3.3248343395384823 Mtonnes encore à gagner
3.3142365338343116 Mtonnes encore à gagner
3.3142365338343116 Mtonnes encore à gagner
3.314107726181254 Mtonnes encore à gagner
3.314107726181254 Mtonnes encore à gagner
3.314107726181254 Mtonnes encore à gagner
3.314014602735916 Mtonnes encore à gagner
3.312943777442387 Mtonnes encore à gagner
3.3128752164136572 Mtonnes encore à gagner
3.302183193419785 Mtonnes encore à gagner
3.3019515386253 Mtonnes encore à gagner
3.3019515386253 Mtonnes encore à gagner
3.287305059522349 Mtonnes encore à gagner
3.285690541965104 Mtonnes encore à gagner
3.2854812027036053 Mtonnes encore à gagner
3.2749471500353535 Mtonnes encore à gagner
3.2745136160874675 Mtonnes encore à gagner
3.272510171892949 Mtonnes encore à gagner
3.272435167498388 Mtonnes encore à gagner
3.266999694713196 Mtonnes encore à gagner
3.2631343591074367 Mtonnes encore à gagner
3.2631343591074367 Mtonnes encore à gagner
3.260653164750057 Mtonnes encore à gagner
3.2525561397100984 Mtonnes encore à gagner
3.2510090028078964 Mtonnes encore à gagner
3.2480395870148953 Mtonnes encore à gagner
3.24797815724769 Mtonnes encore à gagner
3.2479185252749816 Mtonnes encore à gagner
3.240727789388965 Mtonnes encore à gagner
3.240727789388965 Mtonnes encore à gagner
3.24059676559366 Mtonnes encore à gagner
3.24059676559366 Mtonnes encore à gagner
3.2388698240500227 Mtonnes encore à gagner
3.232125630157363 Mtonnes encore à gagner
3.232067661717567 Mtonnes encore à gagner
3.2294678991251176 Mtonnes encore à gagner
3.2262124680413726 Mtonnes encore à gagner
3.2249587854526953 Mtonnes encore à gagner
3.2248599034673826 Mtonnes encore à gagner
3.2248599034673826 Mtonnes encore à gagner
3.2248599034673826 Mtonnes encore à gagner
3.2143461829527173 Mtonnes encore à gagner
3.2101328192259673 Mtonnes encore à gagner
3.2100738518667353 Mtonnes encore à gagner
3.2044504153684943 Mtonnes encore à gagner
3.204201409559713 Mtonnes encore à gagner
3.204201409559713 Mtonnes encore à gagner
3.2000677727872646 Mtonnes encore à gagner
3.1977321146249627 Mtonnes encore à gagner
3.1975145555047395 Mtonnes encore à gagner
3.1890800365816365 Mtonnes encore à gagner
3.1890800365816365 Mtonnes encore à gagner
3.1764526571844436 Mtonnes encore à gagner
3.1762383208899885 Mtonnes encore à gagner
3.1762383208899885 Mtonnes encore à gagner
3.173904989437189 Mtonnes encore à gagner
3.165949629925701 Mtonnes encore à gagner
3.165793418796795 Mtonnes encore à gagner
3.1656782002609742 Mtonnes encore à gagner
3.1647141942203123 Mtonnes encore à gagner
3.1541372656439246 Mtonnes encore à gagner
3.149323107170972 Mtonnes encore à gagner
3.149323107170972 Mtonnes encore à gagner
3.1491144925085073 Mtonnes encore à gagner
3.148102850518922 Mtonnes encore à gagner
3.145287677507135 Mtonnes encore à gagner
3.1431459315022887 Mtonnes encore à gagner
3.140452319036567 Mtonnes encore à gagner
3.138476764196009 Mtonnes encore à gagner
3.135062398708429 Mtonnes encore à gagner
3.1320587953484718 Mtonnes encore à gagner
3.131963732716937 Mtonnes encore à gagner
3.13195132996089 Mtonnes encore à gagner
3.13195132996089 Mtonnes encore à gagner
3.118684078675629 Mtonnes encore à gagner
3.118684078675629 Mtonnes encore à gagner
3.118574296266462 Mtonnes encore à gagner
3.1183716973777202 Mtonnes encore à gagner
3.118037298889908 Mtonnes encore à gagner
3.1164088589975596 Mtonnes encore à gagner
3.116337080768925 Mtonnes encore à gagner
3.116337080768925 Mtonnes encore à gagner
3.1149664098508123 Mtonnes encore à gagner
3.11495694788375 Mtonnes encore à gagner
3.1148816876674217 Mtonnes encore à gagner
3.1023845243601067 Mtonnes encore à gagner
3.1023845243601067 Mtonnes encore à gagner
3.0950548835485923 Mtonnes encore à gagner
3.0950548835485923 Mtonnes encore à gagner
3.0858863811722608 Mtonnes encore à gagner
3.0851681183919104 Mtonnes encore à gagner
3.065859813338983 Mtonnes encore à gagner
3.064852983199272 Mtonnes encore à gagner
3.064852983199272 Mtonnes encore à gagner
3.0507805426247274 Mtonnes encore à gagner
3.042849852825261 Mtonnes encore à gagner
3.0369932702321036 Mtonnes encore à gagner
3.0349862779811096 Mtonnes encore à gagner
3.0349862779811096 Mtonnes encore à gagner
3.0243672084138553 Mtonnes encore à gagner
3.022094856224513 Mtonnes encore à gagner
3.0219766223942925 Mtonnes encore à gagner
3.0219766223942925 Mtonnes encore à gagner
3.015280553019005 Mtonnes encore à gagner
3.010590443241266 Mtonnes encore à gagner
3.010590443241266 Mtonnes encore à gagner
3.0046915568763937 Mtonnes encore à gagner
3.0025252770039095 Mtonnes encore à gagner
2.996591328638766 Mtonnes encore à gagner
2.9920532736244145 Mtonnes encore à gagner
2.9920532736244145 Mtonnes encore à gagner
2.9920532736244145 Mtonnes encore à gagner
2.986957311711063 Mtonnes encore à gagner
2.9808524819323803 Mtonnes encore à gagner
2.9797100817915694 Mtonnes encore à gagner
2.9797100817915694 Mtonnes encore à gagner
2.9797100817915694 Mtonnes encore à gagner
2.979578804565404 Mtonnes encore à gagner
2.9638405901621376 Mtonnes encore à gagner
2.9609368642642564 Mtonnes encore à gagner
2.9609368642642564 Mtonnes encore à gagner
2.9600209783785743 Mtonnes encore à gagner
2.9600209783785743 Mtonnes encore à gagner
2.9600209783785743 Mtonnes encore à gagner
2.9512223385076415 Mtonnes encore à gagner
2.9215267520300965 Mtonnes encore à gagner
2.920490028644839 Mtonnes encore à gagner
2.9197956561311833 Mtonnes encore à gagner
2.9150736228901475 Mtonnes encore à gagner
2.914980287317238 Mtonnes encore à gagner
2.914980287317238 Mtonnes encore à gagner
2.9133485319794343 Mtonnes encore à gagner
2.90554011724014 Mtonnes encore à gagner
2.8911812705692133 Mtonnes encore à gagner
2.891118367701256 Mtonnes encore à gagner
2.891118367701256 Mtonnes encore à gagner
2.883763398625343 Mtonnes encore à gagner
2.8789888964136545 Mtonnes encore à gagner
2.8764252137727007 Mtonnes encore à gagner
2.875668139940078 Mtonnes encore à gagner
2.8745610554953234 Mtonnes encore à gagner
2.87428638986149 Mtonnes encore à gagner
2.8741236362857587 Mtonnes encore à gagner
